Vds ,id@Vgs 0.35 ,id@Vgs 0.351 ,id@Vgs 0.352 ,id@Vgs 0.353 ,id@Vgs 0.354 ,id@Vgs 0.355 ,id@Vgs 0.356 ,id@Vgs 0.357 ,id@Vgs 0.358 ,id@Vgs 0.359 ,id@Vgs 0.36 ,id@Vgs 0.361 ,id@Vgs 0.362 ,id@Vgs 0.363 ,id@Vgs 0.364 ,id@Vgs 0.365 ,id@Vgs 0.366 ,id@Vgs 0.367 ,id@Vgs 0.368 ,id@Vgs 0.369 ,id@Vgs 0.37 ,id@Vgs 0.371 ,id@Vgs 0.372 ,id@Vgs 0.373 ,id@Vgs 0.374 ,id@Vgs 0.375 ,id@Vgs 0.376 ,id@Vgs 0.377 ,id@Vgs 0.378 ,id@Vgs 0.379 ,id@Vgs 0.38 ,id@Vgs 0.381 ,id@Vgs 0.382 ,id@Vgs 0.383 ,id@Vgs 0.384 ,id@Vgs 0.385 ,id@Vgs 0.386 ,id@Vgs 0.387 ,id@Vgs 0.388 ,id@Vgs 0.389 ,id@Vgs 0.39 ,id@Vgs 0.391 ,id@Vgs 0.392 ,id@Vgs 0.393 ,id@Vgs 0.394 ,id@Vgs 0.395 ,id@Vgs 0.396 ,id@Vgs 0.397 ,id@Vgs 0.398 ,id@Vgs 0.399 ,id@Vgs 0.4 
20.0E-3,968.67243E-9,994.49793E-9,1.0208693E-6,1.0477926E-6,1.0752738E-6,1.1033188E-6,1.1319335E-6,1.1611235E-6,1.1908944E-6,1.2212517E-6,1.2522010E-6,1.2837473E-6,1.3158960E-6,1.3486521E-6,1.3820205E-6,1.4160063E-6,1.4506140E-6,1.4858484E-6,1.5217140E-6,1.5582152E-6,1.5953564E-6,1.6331416E-6,1.6715751E-6,1.7106609E-6,1.7504026E-6,1.7908042E-6,1.8318693E-6,1.8736013E-6,1.9160037E-6,1.9590799E-6,2.0028330E-6,2.0472660E-6,2.0923821E-6,2.1381840E-6,2.1846744E-6,2.2318562E-6,2.2797317E-6,2.3283034E-6,2.3775737E-6,2.4275448E-6,2.4782188E-6,2.5295977E-6,2.5816835E-6,2.6344779E-6,2.6879826E-6,2.7421993E-6,2.7971296E-6,2.8527747E-6,2.9091361E-6,2.9662150E-6,3.0240126E-6
22.0E-3,1.0373839E-6,1.0651653E-6,1.0935392E-6,1.1225122E-6,1.1520911E-6,1.1822825E-6,1.2130929E-6,1.2445285E-6,1.2765957E-6,1.3093007E-6,1.3426496E-6,1.3766481E-6,1.4113023E-6,1.4466178E-6,1.4826001E-6,1.5192548E-6,1.5565873E-6,1.5946027E-6,1.6333062E-6,1.6727028E-6,1.7127974E-6,1.7535947E-6,1.7950993E-6,1.8373158E-6,1.8802486E-6,1.9239018E-6,1.9682797E-6,2.0133863E-6,2.0592254E-6,2.1058009E-6,2.1531164E-6,2.2011754E-6,2.2499813E-6,2.2995375E-6,2.3498470E-6,2.4009130E-6,2.4527383E-6,2.5053258E-6,2.5586782E-6,2.6127981E-6,2.6676878E-6,2.7233499E-6,2.7797864E-6,2.8369996E-6,2.8949914E-6,2.9537638E-6,3.0133185E-6,3.0736573E-6,3.1347817E-6,3.1966932E-6,3.2593932E-6
24.0E-3,1.1020030E-6,1.1316413E-6,1.1619169E-6,1.1928375E-6,1.2244103E-6,1.2566427E-6,1.2895418E-6,1.3231147E-6,1.3573684E-6,1.3923097E-6,1.4279452E-6,1.4642817E-6,1.5013256E-6,1.5390832E-6,1.5775609E-6,1.6167646E-6,1.6567004E-6,1.6973741E-6,1.7387915E-6,1.7809581E-6,1.8238795E-6,1.8675608E-6,1.9120074E-6,1.9572243E-6,2.0032164E-6,2.0499886E-6,2.0975454E-6,2.1458914E-6,2.1950311E-6,2.2449686E-6,2.2957081E-6,2.3472537E-6,2.3996091E-6,2.4527781E-6,2.5067643E-6,2.5615713E-6,2.6172022E-6,2.6736604E-6,2.7309489E-6,2.7890707E-6,2.8480286E-6,2.9078253E-6,2.9684635E-6,3.0299455E-6,3.0922737E-6,3.1554504E-6,3.2194776E-6,3.2843572E-6,3.3500913E-6,3.4166815E-6,3.4841295E-6
26.0E-3,1.1627536E-6,1.1941533E-6,1.2262338E-6,1.2590033E-6,1.2924700E-6,1.3266418E-6,1.3615265E-6,1.3971320E-6,1.4334659E-6,1.4705357E-6,1.5083488E-6,1.5469124E-6,1.5862338E-6,1.6263200E-6,1.6671778E-6,1.7088140E-6,1.7512352E-6,1.7944479E-6,1.8384585E-6,1.8832731E-6,1.9288978E-6,1.9753385E-6,2.0226011E-6,2.0706911E-6,2.1196140E-6,2.1693753E-6,2.2199800E-6,2.2714334E-6,2.3237402E-6,2.3769053E-6,2.4309333E-6,2.4858288E-6,2.5415959E-6,2.5982390E-6,2.6557622E-6,2.7141692E-6,2.7734640E-6,2.8336501E-6,2.8947311E-6,2.9567103E-6,3.0195910E-6,3.0833762E-6,3.1480688E-6,3.2136718E-6,3.2801877E-6,3.3476192E-6,3.4159687E-6,3.4852385E-6,3.5554307E-6,3.6265473E-6,3.6985905E-6
28.0E-3,1.2198491E-6,1.2529186E-6,1.2867107E-6,1.3212345E-6,1.3564986E-6,1.3925119E-6,1.4292828E-6,1.4668199E-6,1.5051315E-6,1.5442257E-6,1.5841107E-6,1.6247945E-6,1.6662848E-6,1.7085894E-6,1.7517159E-6,1.7956715E-6,1.8404637E-6,1.8860995E-6,1.9325859E-6,1.9799298E-6,2.0281378E-6,2.0772165E-6,2.1271722E-6,2.1780113E-6,2.2297397E-6,2.2823634E-6,2.3358882E-6,2.3903198E-6,2.4456634E-6,2.5019246E-6,2.5591084E-6,2.6172199E-6,2.6762638E-6,2.7362450E-6,2.7971678E-6,2.8590369E-6,2.9218563E-6,2.9856301E-6,3.0503624E-6,3.1160569E-6,3.1827172E-6,3.2503468E-6,3.3189491E-6,3.3885273E-6,3.4590844E-6,3.5306234E-6,3.6031470E-6,3.6766579E-6,3.7511586E-6,3.8266514E-6,3.9031386E-6
30.0E-3,1.2734926E-6,1.3081440E-6,1.3435583E-6,1.3797452E-6,1.4167143E-6,1.4544749E-6,1.4930363E-6,1.5324076E-6,1.5725980E-6,1.6136163E-6,1.6554714E-6,1.6981718E-6,1.7417261E-6,1.7861427E-6,1.8314297E-6,1.8775954E-6,1.9246476E-6,1.9725941E-6,2.0214426E-6,2.0712005E-6,2.1218752E-6,2.1734738E-6,2.2260033E-6,2.2794706E-6,2.3338823E-6,2.3892451E-6,2.4455652E-6,2.5028489E-6,2.5611021E-6,2.6203308E-6,2.6805407E-6,2.7417372E-6,2.8039259E-6,2.8671118E-6,2.9313001E-6,2.9964957E-6,3.0627031E-6,3.1299271E-6,3.1981721E-6,3.2674422E-6,3.3377415E-6,3.4090740E-6,3.4814434E-6,3.5548534E-6,3.6293074E-6,3.7048087E-6,3.7813605E-6,3.8589657E-6,3.9376272E-6,4.0173478E-6,4.0981299E-6
32.0E-3,1.3238774E-6,1.3600264E-6,1.3969771E-6,1.4347398E-6,1.4733249E-6,1.5127423E-6,1.5530021E-6,1.5941141E-6,1.6360882E-6,1.6789339E-6,1.7226607E-6,1.7672779E-6,1.8127949E-6,1.8592206E-6,1.9065640E-6,1.9548338E-6,2.0040387E-6,2.0541871E-6,2.1052873E-6,2.1573474E-6,2.2103755E-6,2.2643794E-6,2.3193666E-6,2.3753448E-6,2.4323211E-6,2.4903027E-6,2.5492966E-6,2.6093096E-6,2.6703483E-6,2.7324191E-6,2.7955283E-6,2.8596821E-6,2.9248863E-6,2.9911468E-6,3.0584690E-6,3.1268583E-6,3.1963201E-6,3.2668594E-6,3.3384810E-6,3.4111897E-6,3.4849901E-6,3.5598864E-6,3.6358829E-6,3.7129837E-6,3.7911926E-6,3.8705133E-6,3.9509494E-6,4.0325043E-6,4.1151812E-6,4.1989831E-6,4.2839131E-6
34.0E-3,1.3711870E-6,1.4087530E-6,1.4471578E-6,1.4864126E-6,1.5265283E-6,1.5675158E-6,1.6093856E-6,1.6521483E-6,1.6958146E-6,1.7403946E-6,1.7858985E-6,1.8323365E-6,1.8797184E-6,1.9280540E-6,1.9773530E-6,2.0276247E-6,2.0788784E-6,2.1311234E-6,2.1843686E-6,2.2386228E-6,2.2938946E-6,2.3501926E-6,2.4075249E-6,2.4658998E-6,2.5253252E-6,2.5858089E-6,2.6473584E-6,2.7099811E-6,2.7736843E-6,2.8384751E-6,2.9043602E-6,2.9713464E-6,3.0394401E-6,3.1086477E-6,3.1789753E-6,3.2504288E-6,3.3230140E-6,3.3967365E-6,3.4716016E-6,3.5476146E-6,3.6247806E-6,3.7031042E-6,3.7825904E-6,3.8632434E-6,3.9450677E-6,4.0280674E-6,4.1122464E-6,4.1976086E-6,4.2841577E-6,4.3718969E-6,4.4608298E-6
36.0E-3,1.4155955E-6,1.4545012E-6,1.4942816E-6,1.5349483E-6,1.5765130E-6,1.6189872E-6,1.6623822E-6,1.7067094E-6,1.7519799E-6,1.7982048E-6,1.8453949E-6,1.8935611E-6,1.9427139E-6,1.9928638E-6,2.0440211E-6,2.0961960E-6,2.1493984E-6,2.2036383E-6,2.2589252E-6,2.3152687E-6,2.3726781E-6,2.4311625E-6,2.4907308E-6,2.5513919E-6,2.6131544E-6,2.6760266E-6,2.7400168E-6,2.8051331E-6,2.8713832E-6,2.9387749E-6,3.0073156E-6,3.0770125E-6,3.1478728E-6,3.2199034E-6,3.2931109E-6,3.3675018E-6,3.4430825E-6,3.5198590E-6,3.5978373E-6,3.6770232E-6,3.7574221E-6,3.8390394E-6,3.9218803E-6,4.0059497E-6,4.0912525E-6,4.1777932E-6,4.2655762E-6,4.3546059E-6,4.4448861E-6,4.5364209E-6,4.6292139E-6
38.0E-3,1.4572677E-6,1.4974397E-6,1.5385204E-6,1.5805223E-6,1.6234577E-6,1.6673389E-6,1.7121779E-6,1.7579867E-6,1.8047771E-6,1.8525610E-6,1.9013499E-6,1.9511553E-6,2.0019885E-6,2.0538607E-6,2.1067828E-6,2.1607658E-6,2.2158204E-6,2.2719570E-6,2.3291860E-6,2.3875176E-6,2.4469618E-6,2.5075284E-6,2.5692271E-6,2.6320673E-6,2.6960583E-6,2.7612090E-6,2.8275285E-6,2.8950254E-6,2.9637082E-6,3.0335851E-6,3.1046643E-6,3.1769536E-6,3.2504607E-6,3.3251932E-6,3.4011582E-6,3.4783629E-6,3.5568141E-6,3.6365186E-6,3.7174827E-6,3.7997128E-6,3.8832150E-6,3.9679950E-6,4.0540586E-6,4.1414113E-6,4.2300583E-6,4.3200046E-6,4.4112553E-6,4.5038149E-6,4.5976880E-6,4.6928789E-6,4.7893917E-6
