Vds ,gds@Vgs 0.35 ,gds@Vgs 0.351 ,gds@Vgs 0.352 ,gds@Vgs 0.353 ,gds@Vgs 0.354 ,gds@Vgs 0.355 ,gds@Vgs 0.356 ,gds@Vgs 0.357 ,gds@Vgs 0.358 ,gds@Vgs 0.359 ,gds@Vgs 0.36 ,gds@Vgs 0.361 ,gds@Vgs 0.362 ,gds@Vgs 0.363 ,gds@Vgs 0.364 ,gds@Vgs 0.365 ,gds@Vgs 0.366 ,gds@Vgs 0.367 ,gds@Vgs 0.368 ,gds@Vgs 0.369 ,gds@Vgs 0.37 ,gds@Vgs 0.371 ,gds@Vgs 0.372 ,gds@Vgs 0.373 ,gds@Vgs 0.374 ,gds@Vgs 0.375 ,gds@Vgs 0.376 ,gds@Vgs 0.377 ,gds@Vgs 0.378 ,gds@Vgs 0.379 ,gds@Vgs 0.38 ,gds@Vgs 0.381 ,gds@Vgs 0.382 ,gds@Vgs 0.383 ,gds@Vgs 0.384 ,gds@Vgs 0.385 ,gds@Vgs 0.386 ,gds@Vgs 0.387 ,gds@Vgs 0.388 ,gds@Vgs 0.389 ,gds@Vgs 0.39 ,gds@Vgs 0.391 ,gds@Vgs 0.392 ,gds@Vgs 0.393 ,gds@Vgs 0.394 ,gds@Vgs 0.395 ,gds@Vgs 0.396 ,gds@Vgs 0.397 ,gds@Vgs 0.398 ,gds@Vgs 0.399 ,gds@Vgs 0.4 
20.0E-3,35.416696E-6,36.420081E-6,37.447136E-6,38.498206E-6,39.573637E-6,40.673766E-6,41.798931E-6,42.949467E-6,44.125703E-6,45.327966E-6,46.556579E-6,47.811861E-6,49.094126E-6,50.403683E-6,51.740840E-6,53.105897E-6,54.499150E-6,55.920891E-6,57.371406E-6,58.850977E-6,60.359879E-6,61.898384E-6,63.466757E-6,65.065259E-6,66.694144E-6,68.353662E-6,70.044056E-6,71.765566E-6,73.518422E-6,75.302854E-6,77.119082E-6,78.967322E-6,80.847785E-6,82.760676E-6,84.706193E-6,86.684530E-6,88.695876E-6,90.740412E-6,92.818316E-6,94.929759E-6,97.074906E-6,99.253919E-6,101.46695E-6,103.71415E-6,105.99567E-6,108.31163E-6,110.66218E-6,113.04744E-6,115.46754E-6,117.92258E-6,120.41268E-6
22.0E-3,33.312902E-6,34.265766E-6,35.241524E-6,36.240523E-6,37.263112E-6,38.309637E-6,39.380441E-6,40.475862E-6,41.596240E-6,42.741907E-6,43.913193E-6,45.110426E-6,46.333929E-6,47.584020E-6,48.861014E-6,50.165222E-6,51.496950E-6,52.856499E-6,54.244166E-6,55.660244E-6,57.105018E-6,58.578771E-6,60.081780E-6,61.614317E-6,63.176647E-6,64.769033E-6,66.391729E-6,68.044985E-6,69.729047E-6,71.444154E-6,73.190539E-6,74.968431E-6,76.778051E-6,78.619617E-6,80.493341E-6,82.399429E-6,84.338079E-6,86.309488E-6,88.313845E-6,90.351332E-6,92.422128E-6,94.526406E-6,96.664332E-6,98.836068E-6,101.04177E-6,103.28159E-6,105.55567E-6,107.86415E-6,110.20716E-6,112.58484E-6,114.99731E-6
24.0E-3,31.323571E-6,32.227806E-6,33.154149E-6,34.102954E-6,35.074573E-6,36.069355E-6,37.087647E-6,38.129796E-6,39.196142E-6,40.287028E-6,41.402788E-6,42.543758E-6,43.710268E-6,44.902643E-6,46.121208E-6,47.366282E-6,48.638179E-6,49.937210E-6,51.263682E-6,52.617897E-6,54.000151E-6,55.410737E-6,56.849943E-6,58.318051E-6,59.815338E-6,61.342077E-6,62.898536E-6,64.484974E-6,66.101650E-6,67.748814E-6,69.426711E-6,71.135581E-6,72.875660E-6,74.647176E-6,76.450353E-6,78.285408E-6,80.152554E-6,82.051998E-6,83.983942E-6,85.948580E-6,87.946104E-6,89.976698E-6,92.040541E-6,94.137806E-6,96.268662E-6,98.433272E-6,100.63179E-6,102.86438E-6,105.13117E-6,107.43231E-6,109.76793E-6
26.0E-3,29.443511E-6,30.300997E-6,31.179807E-6,32.080294E-6,33.002814E-6,33.947719E-6,34.915359E-6,35.906085E-6,36.920242E-6,37.958177E-6,39.020231E-6,40.106745E-6,41.218054E-6,42.354492E-6,43.516391E-6,44.704076E-6,45.917870E-6,47.158094E-6,48.425061E-6,49.719083E-6,51.040467E-6,52.389514E-6,53.766523E-6,55.171786E-6,56.605590E-6,58.068220E-6,59.559952E-6,61.081060E-6,62.631811E-6,64.212468E-6,65.823287E-6,67.464522E-6,69.136416E-6,70.839213E-6,72.573147E-6,74.338447E-6,76.135339E-6,77.964042E-6,79.824768E-6,81.717725E-6,83.643117E-6,85.601139E-6,87.591983E-6,89.615834E-6,91.672874E-6,93.763276E-6,95.887210E-6,98.044840E-6,100.23632E-6,102.46181E-6,104.72146E-6
28.0E-3,27.667585E-6,28.480191E-6,29.313334E-6,30.167372E-6,31.042659E-6,31.939550E-6,32.858397E-6,33.799553E-6,34.763368E-6,35.750192E-6,36.760370E-6,37.794247E-6,38.852166E-6,39.934465E-6,41.041481E-6,42.173547E-6,43.330995E-6,44.514149E-6,45.723334E-6,46.958869E-6,48.221068E-6,49.510242E-6,50.826700E-6,52.170742E-6,53.542667E-6,54.942768E-6,56.371332E-6,57.828644E-6,59.314982E-6,60.830619E-6,62.375824E-6,63.950859E-6,65.555981E-6,67.191445E-6,68.857495E-6,70.554375E-6,72.282320E-6,74.041561E-6,75.832323E-6,77.654826E-6,79.509284E-6,81.395907E-6,83.314896E-6,85.266451E-6,87.250763E-6,89.268020E-6,91.318402E-6,93.402085E-6,95.519240E-6,97.670032E-6,99.854620E-6
30.0E-3,25.990749E-6,26.760319E-6,27.549646E-6,28.359084E-6,29.188991E-6,30.039719E-6,30.911624E-6,31.805059E-6,32.720377E-6,33.657929E-6,34.618065E-6,35.601133E-6,36.607479E-6,37.637448E-6,38.691381E-6,39.769616E-6,40.872491E-6,42.000338E-6,43.153487E-6,44.332265E-6,45.536994E-6,46.767994E-6,48.025580E-6,49.310062E-6,50.621748E-6,51.960941E-6,53.327938E-6,54.723032E-6,56.146512E-6,57.598662E-6,59.079761E-6,60.590082E-6,62.129894E-6,63.699461E-6,65.299041E-6,66.928886E-6,68.589245E-6,70.280359E-6,72.002466E-6,73.755797E-6,75.540579E-6,77.357031E-6,79.205369E-6,81.085803E-6,82.998537E-6,84.943769E-6,86.921693E-6,88.932496E-6,90.976362E-6,93.053466E-6,95.163981E-6
32.0E-3,24.408070E-6,25.136422E-6,25.883754E-6,26.650422E-6,27.436779E-6,28.243179E-6,29.069977E-6,29.917527E-6,30.786182E-6,31.676296E-6,32.588219E-6,33.522304E-6,34.478898E-6,35.458350E-6,36.461005E-6,37.487207E-6,38.537296E-6,39.611612E-6,40.710489E-6,41.834261E-6,42.983258E-6,44.157805E-6,45.358225E-6,46.584838E-6,47.837958E-6,49.117896E-6,50.424960E-6,51.759451E-6,53.121669E-6,54.511905E-6,55.930450E-6,57.377587E-6,58.853596E-6,60.358749E-6,61.893318E-6,63.457564E-6,65.051748E-6,66.676122E-6,68.330936E-6,70.016431E-6,71.732846E-6,73.480412E-6,75.259356E-6,77.069901E-6,78.912261E-6,80.786647E-6,82.693265E-6,84.632313E-6,86.603987E-6,88.608475E-6,90.645959E-6
34.0E-3,22.914756E-6,23.603671E-6,24.310801E-6,25.036495E-6,25.781107E-6,26.544989E-6,27.328493E-6,28.131974E-6,28.955785E-6,29.800279E-6,30.665809E-6,31.552727E-6,32.461384E-6,33.392129E-6,34.345312E-6,35.321278E-6,36.320374E-6,37.342942E-6,38.389322E-6,39.459852E-6,40.554869E-6,41.674703E-6,42.819685E-6,43.990140E-6,45.186391E-6,46.408756E-6,47.657551E-6,48.933086E-6,50.235668E-6,51.565600E-6,52.923180E-6,54.308701E-6,55.722452E-6,57.164719E-6,58.635778E-6,60.135907E-6,61.665372E-6,63.224440E-6,64.813369E-6,66.432414E-6,68.081822E-6,69.761838E-6,71.472699E-6,73.214638E-6,74.987884E-6,76.792657E-6,78.629175E-6,80.497650E-6,82.398285E-6,84.331284E-6,86.296840E-6
36.0E-3,21.506169E-6,22.157391E-6,22.826071E-6,23.512555E-6,24.217193E-6,24.940335E-6,25.682332E-6,26.443535E-6,27.224297E-6,28.024970E-6,28.845906E-6,29.687459E-6,30.549979E-6,31.433818E-6,32.339326E-6,33.266852E-6,34.216744E-6,35.189348E-6,36.185008E-6,37.204067E-6,38.246863E-6,39.313736E-6,40.405019E-6,41.521045E-6,42.662142E-6,43.828635E-6,45.020848E-6,46.239098E-6,47.483700E-6,48.754965E-6,50.053199E-6,51.378706E-6,52.731783E-6,54.112723E-6,55.521816E-6,56.959346E-6,58.425592E-6,59.920829E-6,61.445328E-6,62.999351E-6,64.583160E-6,66.197008E-6,67.841144E-6,69.515814E-6,71.221254E-6,72.957699E-6,74.725376E-6,76.524509E-6,78.355315E-6,80.218006E-6,82.112789E-6
38.0E-3,20.177846E-6,20.793074E-6,21.425015E-6,22.074012E-6,22.740410E-6,23.424555E-6,24.126796E-6,24.847481E-6,25.586959E-6,26.345583E-6,27.123703E-6,27.921670E-6,28.739836E-6,29.578552E-6,30.438169E-6,31.319038E-6,32.221507E-6,33.145925E-6,34.092639E-6,35.061994E-6,36.054333E-6,37.069999E-6,38.109330E-6,39.172663E-6,40.260333E-6,41.372670E-6,42.510003E-6,43.672658E-6,44.860956E-6,46.075214E-6,47.315748E-6,48.582868E-6,49.876881E-6,51.198088E-6,52.546788E-6,53.923274E-6,55.327835E-6,56.760756E-6,58.222316E-6,59.712790E-6,61.232448E-6,62.781555E-6,64.360370E-6,65.969148E-6,67.608139E-6,69.277588E-6,70.977733E-6,72.708808E-6,74.471042E-6,76.264659E-6,78.089876E-6
