Vds ,gm@Vgs 0.2 ,gm@Vgs 0.201 ,gm@Vgs 0.202 ,gm@Vgs 0.203 ,gm@Vgs 0.204 ,gm@Vgs 0.205 ,gm@Vgs 0.206 ,gm@Vgs 0.207 ,gm@Vgs 0.208 ,gm@Vgs 0.209 ,gm@Vgs 0.21 ,gm@Vgs 0.211 ,gm@Vgs 0.212 ,gm@Vgs 0.213 ,gm@Vgs 0.214 ,gm@Vgs 0.215 ,gm@Vgs 0.216 ,gm@Vgs 0.217 ,gm@Vgs 0.218 ,gm@Vgs 0.219 ,gm@Vgs 0.22 ,gm@Vgs 0.221 ,gm@Vgs 0.222 ,gm@Vgs 0.223 ,gm@Vgs 0.224 ,gm@Vgs 0.225 ,gm@Vgs 0.226 ,gm@Vgs 0.227 ,gm@Vgs 0.228 ,gm@Vgs 0.229 ,gm@Vgs 0.23 ,gm@Vgs 0.231 ,gm@Vgs 0.232 ,gm@Vgs 0.233 ,gm@Vgs 0.234 ,gm@Vgs 0.235 ,gm@Vgs 0.236 ,gm@Vgs 0.237 ,gm@Vgs 0.238 ,gm@Vgs 0.239 ,gm@Vgs 0.24 ,gm@Vgs 0.241 ,gm@Vgs 0.242 ,gm@Vgs 0.243 ,gm@Vgs 0.244 ,gm@Vgs 0.245 ,gm@Vgs 0.246 ,gm@Vgs 0.247 ,gm@Vgs 0.248 ,gm@Vgs 0.249 ,gm@Vgs 0.25 
70.0E-3,17.161744E-6,17.720571E-6,18.297289E-6,18.892448E-6,19.506618E-6,20.140381E-6,20.794338E-6,21.469105E-6,22.165317E-6,22.883624E-6,23.624697E-6,24.389223E-6,25.177907E-6,25.991476E-6,26.830672E-6,27.696262E-6,28.589028E-6,29.509777E-6,30.459332E-6,31.438541E-6,32.448272E-6,33.489415E-6,34.562882E-6,35.669608E-6,36.810551E-6,37.986690E-6,39.199030E-6,40.448599E-6,41.736447E-6,43.063653E-6,44.431314E-6,45.840557E-6,47.292532E-6,48.788412E-6,50.329399E-6,51.916718E-6,53.551620E-6,55.235380E-6,56.969302E-6,58.754713E-6,60.592965E-6,62.485438E-6,64.433536E-6,66.438688E-6,68.502349E-6,70.625998E-6,72.811141E-6,75.059306E-6,77.372046E-6,79.750938E-6,82.197583E-6
72.0E-3,17.318154E-6,17.882141E-6,18.464189E-6,19.064853E-6,19.684709E-6,20.324345E-6,20.984368E-6,21.665401E-6,22.368083E-6,23.093074E-6,23.841049E-6,24.612703E-6,25.408750E-6,26.229922E-6,27.076971E-6,27.950671E-6,28.851812E-6,29.781210E-6,30.739697E-6,31.728130E-6,32.747386E-6,33.798365E-6,34.881989E-6,35.999204E-6,37.150976E-6,38.338298E-6,39.562185E-6,40.823676E-6,42.123836E-6,43.463751E-6,44.844536E-6,46.267327E-6,47.733290E-6,49.243612E-6,50.799508E-6,52.402218E-6,54.053008E-6,55.753171E-6,57.504023E-6,59.306911E-6,61.163203E-6,63.074296E-6,65.041612E-6,67.066600E-6,69.150732E-6,71.295510E-6,73.502457E-6,75.773123E-6,78.109082E-6,80.511935E-6,82.983303E-6
74.0E-3,17.465637E-6,18.034490E-6,18.621564E-6,19.227420E-6,19.852638E-6,20.497813E-6,21.163556E-6,21.850497E-6,22.559282E-6,23.290575E-6,24.045060E-6,24.823437E-6,25.626427E-6,26.454770E-6,27.309226E-6,28.190574E-6,29.099615E-6,30.037169E-6,31.004081E-6,32.001214E-6,33.029454E-6,34.089711E-6,35.182915E-6,36.310023E-6,37.472011E-6,38.669882E-6,39.904661E-6,41.177400E-6,42.489172E-6,43.841078E-6,45.234243E-6,46.669817E-6,48.148977E-6,49.672924E-6,51.242886E-6,52.860118E-6,54.525901E-6,56.241540E-6,58.008369E-6,59.827748E-6,61.701064E-6,63.629730E-6,65.615184E-6,67.658892E-6,69.762348E-6,71.927068E-6,74.154596E-6,76.446503E-6,78.804383E-6,81.229856E-6,83.724566E-6
76.0E-3,17.604795E-6,18.178240E-6,18.770056E-6,19.380811E-6,20.011089E-6,20.661490E-6,21.332631E-6,22.025147E-6,22.739690E-6,23.476931E-6,24.237558E-6,25.022279E-6,25.831821E-6,26.666931E-6,27.528375E-6,28.416941E-6,29.333436E-6,30.278688E-6,31.253550E-6,32.258892E-6,33.295611E-6,34.364623E-6,35.466869E-6,36.603313E-6,37.774942E-6,38.982768E-6,40.227828E-6,41.511181E-6,42.833913E-6,44.197136E-6,45.601986E-6,47.049624E-6,48.541240E-6,50.078047E-6,51.661287E-6,53.292227E-6,54.972160E-6,56.702409E-6,58.484319E-6,60.319267E-6,62.208654E-6,64.153909E-6,66.156486E-6,68.217870E-6,70.339568E-6,72.523117E-6,74.770079E-6,77.082043E-6,79.460621E-6,81.907455E-6,84.424209E-6
78.0E-3,17.736208E-6,18.313990E-6,18.910284E-6,19.525666E-6,20.160721E-6,20.816057E-6,21.492295E-6,22.190076E-6,22.910057E-6,23.652913E-6,24.419341E-6,25.210053E-6,26.025782E-6,26.867283E-6,27.735326E-6,28.630708E-6,29.554241E-6,30.506764E-6,31.489132E-6,32.502228E-6,33.546953E-6,34.624233E-6,35.735017E-6,36.880278E-6,38.061012E-6,39.278240E-6,40.533007E-6,41.826384E-6,43.159467E-6,44.533378E-6,45.949262E-6,47.408295E-6,48.911675E-6,50.460628E-6,52.056407E-6,53.700293E-6,55.393592E-6,57.137638E-6,58.933793E-6,60.783445E-6,62.688012E-6,64.648935E-6,66.667687E-6,68.745765E-6,70.884696E-6,73.086031E-6,75.351351E-6,77.682260E-6,80.080392E-6,82.547406E-6,85.084985E-6
80.0E-3,17.860434E-6,18.442313E-6,19.042842E-6,19.662595E-6,20.302167E-6,20.962167E-6,21.643223E-6,22.345980E-6,23.071100E-6,23.819266E-6,24.591176E-6,25.387550E-6,26.209127E-6,27.056667E-6,27.930949E-6,28.832772E-6,29.762959E-6,30.722352E-6,31.711817E-6,32.732240E-6,33.784532E-6,34.869627E-6,35.988481E-6,37.142075E-6,38.331414E-6,39.557528E-6,40.821470E-6,42.124322E-6,43.467188E-6,44.851200E-6,46.277514E-6,47.747316E-6,49.261814E-6,50.822246E-6,52.429878E-6,54.085999E-6,55.791931E-6,57.549018E-6,59.358636E-6,61.222187E-6,63.141100E-6,65.116833E-6,67.150873E-6,69.244731E-6,71.399950E-6,73.618097E-6,75.900768E-6,78.249586E-6,80.666201E-6,83.152289E-6,85.709554E-6
82.0E-3,17.978001E-6,18.563759E-6,19.168293E-6,19.792184E-6,20.436029E-6,21.100443E-6,21.786058E-6,22.493524E-6,23.223507E-6,23.976695E-6,24.753792E-6,25.555524E-6,26.382635E-6,27.235890E-6,28.116073E-6,29.023992E-6,29.960473E-6,30.926367E-6,31.922545E-6,32.949901E-6,34.009353E-6,35.101841E-6,36.228330E-6,37.389808E-6,38.587289E-6,39.821809E-6,41.094432E-6,42.406248E-6,43.758369E-6,45.151937E-6,46.588118E-6,48.068107E-6,49.593124E-6,51.164416E-6,52.783259E-6,54.450956E-6,56.168838E-6,57.938262E-6,59.760616E-6,61.637314E-6,63.569799E-6,65.559543E-6,67.608044E-6,69.716829E-6,71.887455E-6,74.121505E-6,76.420590E-6,78.786349E-6,81.220449E-6,83.724581E-6,86.300467E-6
84.0E-3,18.089414E-6,18.678846E-6,19.287175E-6,19.914986E-6,20.562880E-6,21.231476E-6,21.921409E-6,22.633336E-6,23.367926E-6,24.125872E-6,24.907884E-6,25.714692E-6,26.547044E-6,27.405713E-6,28.291487E-6,29.205180E-6,30.147624E-6,31.119676E-6,32.122213E-6,33.156136E-6,34.222370E-6,35.321861E-6,36.455582E-6,37.624528E-6,38.829719E-6,40.072202E-6,41.353047E-6,42.673352E-6,44.034239E-6,45.436857E-6,46.882383E-6,48.372020E-6,49.906998E-6,51.488575E-6,53.118036E-6,54.796695E-6,56.525893E-6,58.307001E-6,60.141415E-6,62.030563E-6,63.975900E-6,65.978909E-6,68.041104E-6,70.164024E-6,72.349239E-6,74.598347E-6,76.912974E-6,79.294773E-6,81.745426E-6,84.266643E-6,86.860159E-6
86.0E-3,18.195145E-6,18.788064E-6,19.399993E-6,20.031523E-6,20.683258E-6,21.355821E-6,22.049853E-6,22.766010E-6,23.504972E-6,24.267432E-6,25.054106E-6,25.865728E-6,26.703053E-6,27.566856E-6,28.457934E-6,29.377104E-6,30.325204E-6,31.303097E-6,32.311666E-6,33.351818E-6,34.424484E-6,35.530617E-6,36.671196E-6,37.847224E-6,39.059729E-6,40.309763E-6,41.598405E-6,42.926760E-6,44.295959E-6,45.707160E-6,47.161548E-6,48.660334E-6,50.204757E-6,51.796085E-6,53.435614E-6,55.124666E-6,56.864594E-6,58.656777E-6,60.502625E-6,62.403576E-6,64.361097E-6,66.376682E-6,68.451858E-6,70.588177E-6,72.787221E-6,75.050602E-6,77.379960E-6,79.776963E-6,82.243307E-6,84.780716E-6,87.390942E-6
88.0E-3,18.295642E-6,18.891873E-6,19.507224E-6,20.142287E-6,20.797671E-6,21.474004E-6,22.171928E-6,22.892107E-6,23.635220E-6,24.401969E-6,25.193072E-6,26.009268E-6,26.851317E-6,27.719999E-6,28.616114E-6,29.540486E-6,30.493959E-6,31.477400E-6,32.491698E-6,33.537767E-6,34.616542E-6,35.728983E-6,36.876077E-6,38.058831E-6,39.278281E-6,40.535486E-6,41.831532E-6,43.167533E-6,44.544625E-6,45.963976E-6,47.426777E-6,48.934250E-6,50.487642E-6,52.088229E-6,53.737315E-6,55.436235E-6,57.186348E-6,58.989046E-6,60.845749E-6,62.757904E-6,64.726989E-6,66.754512E-6,68.842008E-6,70.991044E-6,73.203213E-6,75.480141E-6,77.823479E-6,80.234909E-6,82.716142E-6,85.268916E-6,87.894999E-6
