time (s),VT("/out") -  VDC("/out") (V)
96.000E-9,413.88926E-6
96.500E-9,119.14102E-6
97.000E-9,-175.65263E-6
97.500E-9,-471.20052E-6
98.000E-9,-766.47054E-6
98.500E-9,-1.0602539E-3
99.000E-9,-1.3532297E-3
99.500E-9,-1.6451581E-3
100.00E-9,-1.9356502E-3
100.50E-9,-2.2237087E-3
101.00E-9,-2.5095912E-3
101.50E-9,-2.7927343E-3
102.00E-9,-3.0737849E-3
102.50E-9,-3.3517801E-3
103.00E-9,-3.6255960E-3
103.50E-9,-3.8958602E-3
104.00E-9,-4.1622935E-3
104.50E-9,-4.4245797E-3
105.00E-9,-4.6818502E-3
105.50E-9,-4.9343037E-3
106.00E-9,-5.1814543E-3
106.50E-9,-5.4231424E-3
107.00E-9,-5.6599629E-3
107.50E-9,-5.8909312E-3
108.00E-9,-6.1148808E-3
108.50E-9,-6.3326903E-3
109.00E-9,-6.5436106E-3
109.50E-9,-6.7480803E-3
110.00E-9,-6.9454803E-3
110.50E-9,-7.1351784E-3
111.00E-9,-7.3174404E-3
111.50E-9,-7.4918565E-3
112.00E-9,-7.6583433E-3
112.50E-9,-7.8166777E-3
113.00E-9,-7.9667141E-3
113.50E-9,-8.1082838E-3
114.00E-9,-8.2412416E-3
114.50E-9,-8.3664773E-3
115.00E-9,-8.4827757E-3
115.50E-9,-8.5890142E-3
116.00E-9,-8.6865910E-3
116.50E-9,-8.7746999E-3
117.00E-9,-8.8535750E-3
117.50E-9,-8.9229805E-3
118.00E-9,-8.9829140E-3
118.50E-9,-9.0332789E-3
119.00E-9,-9.0740375E-3
119.50E-9,-9.1051396E-3
120.00E-9,-9.1265554E-3
120.50E-9,-9.1382609E-3
121.00E-9,-9.1402444E-3
121.50E-9,-9.1325034E-3
122.00E-9,-9.1150463E-3
122.50E-9,-9.0878915E-3
123.00E-9,-9.0510677E-3
123.50E-9,-9.0046139E-3
124.00E-9,-8.9485791E-3
124.50E-9,-8.8830227E-3
125.00E-9,-8.8080140E-3
125.50E-9,-8.7236322E-3
126.00E-9,-8.6299667E-3
126.50E-9,-8.5271164E-3
127.00E-9,-8.4151901E-3
127.50E-9,-8.2943063E-3
128.00E-9,-8.1645926E-3
128.50E-9,-8.0261864E-3
129.00E-9,-7.8792338E-3
129.50E-9,-7.7238905E-3
130.00E-9,-7.5603206E-3
130.50E-9,-7.3886970E-3
131.00E-9,-7.2101762E-3
131.50E-9,-7.0238857E-3
132.00E-9,-6.8293361E-3
132.50E-9,-6.6278884E-3
133.00E-9,-6.4192182E-3
133.50E-9,-6.2044777E-3
134.00E-9,-5.9831058E-3
134.50E-9,-5.7548800E-3
135.00E-9,-5.5207669E-3
135.50E-9,-5.2806767E-3
136.00E-9,-5.0359081E-3
136.50E-9,-4.7857783E-3
137.00E-9,-4.5299061E-3
137.50E-9,-4.2695296E-3
138.00E-9,-4.0051841E-3
138.50E-9,-3.7367060E-3
139.00E-9,-3.4637318E-3
139.50E-9,-3.1873283E-3
140.00E-9,-2.9041825E-3
140.50E-9,-2.6208126E-3
141.00E-9,-2.3378380E-3
141.50E-9,-2.0509218E-3
142.00E-9,-1.7636456E-3
142.50E-9,-1.4732124E-3
143.00E-9,-1.1799781E-3
143.50E-9,-886.06972E-6
144.00E-9,-591.85041E-6
144.50E-9,-297.20065E-6
145.00E-9,-1.5435526E-6
145.50E-9,293.79367E-6
146.00E-9,588.96998E-6
146.50E-9,882.09683E-6
147.00E-9,1.1742974E-3
147.50E-9,1.4662842E-3
148.00E-9,1.7562439E-3
148.50E-9,2.0436844E-3
