Vds ,gm@Vgs 0.275 ,gm@Vgs 0.276 ,gm@Vgs 0.277 ,gm@Vgs 0.278 ,gm@Vgs 0.279 ,gm@Vgs 0.28 ,gm@Vgs 0.281 ,gm@Vgs 0.282 ,gm@Vgs 0.283 ,gm@Vgs 0.284 ,gm@Vgs 0.285 ,gm@Vgs 0.286 ,gm@Vgs 0.287 ,gm@Vgs 0.288 ,gm@Vgs 0.289 ,gm@Vgs 0.29 ,gm@Vgs 0.291 ,gm@Vgs 0.292 ,gm@Vgs 0.293 ,gm@Vgs 0.294 ,gm@Vgs 0.295 ,gm@Vgs 0.296 ,gm@Vgs 0.297 ,gm@Vgs 0.298 ,gm@Vgs 0.299 ,gm@Vgs 0.3 ,gm@Vgs 0.301 ,gm@Vgs 0.302 ,gm@Vgs 0.303 ,gm@Vgs 0.304 ,gm@Vgs 0.305 ,gm@Vgs 0.306 ,gm@Vgs 0.307 ,gm@Vgs 0.308 ,gm@Vgs 0.309 ,gm@Vgs 0.31 ,gm@Vgs 0.311 ,gm@Vgs 0.312 ,gm@Vgs 0.313 ,gm@Vgs 0.314 ,gm@Vgs 0.315 ,gm@Vgs 0.316 ,gm@Vgs 0.317 ,gm@Vgs 0.318 ,gm@Vgs 0.319 ,gm@Vgs 0.32 ,gm@Vgs 0.321 ,gm@Vgs 0.322 ,gm@Vgs 0.323 ,gm@Vgs 0.324 ,gm@Vgs 0.325 
70.0E-3,17.872470E-6,18.462097E-6,19.069575E-6,19.695320E-6,20.339747E-6,21.003274E-6,21.686321E-6,22.389306E-6,23.112647E-6,23.856761E-6,24.622065E-6,25.408971E-6,26.217893E-6,27.049237E-6,27.903408E-6,28.780807E-6,29.681830E-6,30.606867E-6,31.556303E-6,32.530515E-6,33.529875E-6,34.554746E-6,35.605484E-6,36.682437E-6,37.785941E-6,38.916327E-6,40.073912E-6,41.259006E-6,42.471905E-6,43.712896E-6,44.982253E-6,46.280240E-6,47.607107E-6,48.963091E-6,50.348418E-6,51.763299E-6,53.207932E-6,54.682502E-6,56.187179E-6,57.722120E-6,59.287467E-6,60.883348E-6,62.509876E-6,64.167148E-6,65.855250E-6,67.574248E-6,69.324198E-6,71.105138E-6,72.917092E-6,74.760068E-6,76.634060E-6
72.0E-3,17.982727E-6,18.576227E-6,19.187717E-6,19.817615E-6,20.466345E-6,21.134328E-6,21.821989E-6,22.529753E-6,23.258042E-6,24.007280E-6,24.777890E-6,25.570290E-6,26.384899E-6,27.222132E-6,28.082400E-6,28.966111E-6,29.873666E-6,30.805464E-6,31.761898E-6,32.743351E-6,33.750205E-6,34.782829E-6,35.841588E-6,36.926839E-6,38.038926E-6,39.178188E-6,40.344953E-6,41.539538E-6,42.762251E-6,44.013386E-6,45.293228E-6,46.602051E-6,47.940114E-6,49.307667E-6,50.704944E-6,52.132167E-6,53.589547E-6,55.077278E-6,56.595543E-6,58.144508E-6,59.724329E-6,61.335144E-6,62.977079E-6,64.650244E-6,66.354736E-6,68.090634E-6,69.858007E-6,71.656904E-6,73.487363E-6,75.349405E-6,77.243038E-6
74.0E-3,18.085440E-6,18.682550E-6,19.297777E-6,19.931547E-6,20.584287E-6,21.256423E-6,21.948386E-6,22.660604E-6,23.393506E-6,24.147522E-6,24.923078E-6,25.720602E-6,26.540515E-6,27.383240E-6,28.249194E-6,29.138791E-6,30.052440E-6,30.990546E-6,31.953508E-6,32.941719E-6,33.955566E-6,34.995426E-6,36.061673E-6,37.154670E-6,38.274771E-6,39.422322E-6,40.597661E-6,41.801112E-6,43.032992E-6,44.293605E-6,45.583247E-6,46.902198E-6,48.250729E-6,49.629098E-6,51.037552E-6,52.476321E-6,53.945627E-6,55.445674E-6,56.976657E-6,58.538754E-6,60.132129E-6,61.756934E-6,63.413306E-6,65.101366E-6,66.821222E-6,68.572969E-6,70.356684E-6,72.172431E-6,74.020259E-6,75.900203E-6,77.812281E-6
76.0E-3,18.181136E-6,18.781609E-6,19.400321E-6,20.037700E-6,20.694177E-6,21.370184E-6,22.066156E-6,22.782527E-6,23.519730E-6,24.278199E-6,25.058368E-6,25.860667E-6,26.685527E-6,27.533373E-6,28.404629E-6,29.299716E-6,30.219049E-6,31.163040E-6,32.132092E-6,33.126608E-6,34.146979E-6,35.193592E-6,36.266826E-6,37.367053E-6,38.494635E-6,39.649925E-6,40.833268E-6,42.044999E-6,43.285441E-6,44.554909E-6,45.853705E-6,47.182120E-6,48.540434E-6,49.928914E-6,51.347816E-6,52.797382E-6,54.277841E-6,55.789411E-6,57.332293E-6,58.906678E-6,60.512741E-6,62.150645E-6,63.820536E-6,65.522549E-6,67.256803E-6,69.023402E-6,70.822438E-6,72.653986E-6,74.518107E-6,76.414847E-6,78.344240E-6
78.0E-3,18.270308E-6,18.873916E-6,19.495875E-6,20.136617E-6,20.796577E-6,21.476193E-6,22.175903E-6,22.896144E-6,23.637356E-6,24.399977E-6,25.184446E-6,25.991199E-6,26.820670E-6,27.673291E-6,28.549492E-6,29.449699E-6,30.374333E-6,31.323811E-6,32.298545E-6,33.298941E-6,34.325400E-6,35.378313E-6,36.458068E-6,37.565042E-6,38.699605E-6,39.862118E-6,41.052934E-6,42.272394E-6,43.520832E-6,44.798568E-6,46.105914E-6,47.443170E-6,48.810623E-6,50.208551E-6,51.637218E-6,53.096876E-6,54.587763E-6,56.110106E-6,57.664117E-6,59.249997E-6,60.867932E-6,62.518093E-6,64.200640E-6,65.915716E-6,67.663452E-6,69.443965E-6,71.257356E-6,73.103712E-6,74.983107E-6,76.895599E-6,78.841232E-6
80.0E-3,18.353417E-6,18.959946E-6,19.584932E-6,20.228809E-6,20.892017E-6,21.574996E-6,22.278189E-6,23.002039E-6,23.746988E-6,24.513481E-6,25.301958E-6,26.112863E-6,26.946633E-6,27.803708E-6,28.684520E-6,29.589501E-6,30.519078E-6,31.473674E-6,32.453707E-6,33.459588E-6,34.491725E-6,35.550516E-6,36.636353E-6,37.749622E-6,38.890700E-6,40.059954E-6,41.257744E-6,42.484419E-6,43.740320E-6,45.025776E-6,46.341105E-6,47.686617E-6,49.062607E-6,50.469360E-6,51.907150E-6,53.376237E-6,54.876870E-6,56.409282E-6,57.973699E-6,59.570327E-6,61.199364E-6,62.860991E-6,64.555378E-6,66.282679E-6,68.043036E-6,69.836575E-6,71.663408E-6,73.523636E-6,75.417341E-6,77.344595E-6,79.305452E-6
82.0E-3,18.430894E-6,19.040147E-6,19.667954E-6,20.314754E-6,20.980989E-6,21.667104E-6,22.373545E-6,23.100758E-6,23.849192E-6,24.619293E-6,25.411509E-6,26.226284E-6,27.064064E-6,27.925290E-6,28.810401E-6,29.719834E-6,30.654021E-6,31.613390E-6,32.598365E-6,33.609362E-6,34.646795E-6,35.711068E-6,36.802580E-6,37.921722E-6,39.068877E-6,40.244421E-6,41.448719E-6,42.682127E-6,43.944993E-6,45.237655E-6,46.560437E-6,47.913656E-6,49.297617E-6,50.712612E-6,52.158922E-6,53.636817E-6,55.146554E-6,56.688376E-6,58.262515E-6,59.869190E-6,61.508606E-6,63.180954E-6,64.886414E-6,66.625150E-6,68.397314E-6,70.203042E-6,72.042457E-6,73.915671E-6,75.822777E-6,77.763857E-6,79.738977E-6
84.0E-3,18.503144E-6,19.114937E-6,19.745375E-6,20.394899E-6,21.063957E-6,21.752995E-6,22.462465E-6,23.192815E-6,23.944497E-6,24.717963E-6,25.513664E-6,26.332049E-6,27.173566E-6,28.038663E-6,28.927784E-6,29.841368E-6,30.779854E-6,31.743674E-6,32.733257E-6,33.749026E-6,34.791398E-6,35.860785E-6,36.957590E-6,38.082210E-6,39.235036E-6,40.416447E-6,41.626816E-6,42.866507E-6,44.135874E-6,45.435259E-6,46.764997E-6,48.125411E-6,49.516812E-6,50.939501E-6,52.393767E-6,53.879887E-6,55.398127E-6,56.948738E-6,58.531960E-6,60.148022E-6,61.797137E-6,63.479505E-6,65.195316E-6,66.944743E-6,68.727948E-6,70.545076E-6,72.396263E-6,74.281627E-6,76.201275E-6,78.155297E-6,80.143773E-6
86.0E-3,18.570547E-6,19.184709E-6,19.817600E-6,20.469666E-6,21.141356E-6,21.833121E-6,22.545414E-6,23.278689E-6,24.033401E-6,24.810005E-6,25.608956E-6,26.430707E-6,27.275711E-6,28.144418E-6,29.037277E-6,29.954733E-6,30.897228E-6,31.865199E-6,32.859080E-6,33.879299E-6,34.926278E-6,36.000434E-6,37.102175E-6,38.231906E-6,39.390020E-6,40.576905E-6,41.792939E-6,43.038491E-6,44.313922E-6,45.619582E-6,46.955811E-6,48.322938E-6,49.721284E-6,51.151154E-6,52.612847E-6,54.106646E-6,55.632824E-6,57.191642E-6,58.783348E-6,60.408177E-6,62.066351E-6,63.758082E-6,65.483565E-6,67.242984E-6,69.036508E-6,70.864296E-6,72.726489E-6,74.623217E-6,76.554596E-6,78.520729E-6,80.521703E-6
88.0E-3,18.633461E-6,19.249833E-6,19.885012E-6,20.539449E-6,21.213594E-6,21.907903E-6,22.622830E-6,23.358834E-6,24.116372E-6,24.895903E-6,25.697885E-6,26.522776E-6,27.371031E-6,28.243106E-6,29.139452E-6,30.060519E-6,31.006753E-6,31.978596E-6,32.976486E-6,34.000855E-6,35.052132E-6,36.130736E-6,37.237082E-6,38.371579E-6,39.534627E-6,40.726618E-6,41.947936E-6,43.198956E-6,44.480045E-6,45.791558E-6,47.133843E-6,48.507235E-6,49.912060E-6,51.348633E-6,52.817257E-6,54.318223E-6,55.851812E-6,57.418291E-6,59.017917E-6,60.650932E-6,62.317568E-6,64.018042E-6,65.752559E-6,67.521313E-6,69.324480E-6,71.162228E-6,73.034708E-6,74.942059E-6,76.884407E-6,78.861864E-6,80.874528E-6
