Vds ,gds@Vgs 0.2 ,gds@Vgs 0.201 ,gds@Vgs 0.202 ,gds@Vgs 0.203 ,gds@Vgs 0.204 ,gds@Vgs 0.205 ,gds@Vgs 0.206 ,gds@Vgs 0.207 ,gds@Vgs 0.208 ,gds@Vgs 0.209 ,gds@Vgs 0.21 ,gds@Vgs 0.211 ,gds@Vgs 0.212 ,gds@Vgs 0.213 ,gds@Vgs 0.214 ,gds@Vgs 0.215 ,gds@Vgs 0.216 ,gds@Vgs 0.217 ,gds@Vgs 0.218 ,gds@Vgs 0.219 ,gds@Vgs 0.22 ,gds@Vgs 0.221 ,gds@Vgs 0.222 ,gds@Vgs 0.223 ,gds@Vgs 0.224 ,gds@Vgs 0.225 ,gds@Vgs 0.226 ,gds@Vgs 0.227 ,gds@Vgs 0.228 ,gds@Vgs 0.229 ,gds@Vgs 0.23 ,gds@Vgs 0.231 ,gds@Vgs 0.232 ,gds@Vgs 0.233 ,gds@Vgs 0.234 ,gds@Vgs 0.235 ,gds@Vgs 0.236 ,gds@Vgs 0.237 ,gds@Vgs 0.238 ,gds@Vgs 0.239 ,gds@Vgs 0.24 ,gds@Vgs 0.241 ,gds@Vgs 0.242 ,gds@Vgs 0.243 ,gds@Vgs 0.244 ,gds@Vgs 0.245 ,gds@Vgs 0.246 ,gds@Vgs 0.247 ,gds@Vgs 0.248 ,gds@Vgs 0.249 ,gds@Vgs 0.25 
70.0E-3,2.4797243E-6,2.5615849E-6,2.6461461E-6,2.7334965E-6,2.8237277E-6,2.9169346E-6,3.0132148E-6,3.1126692E-6,3.2154020E-6,3.3215208E-6,3.4311366E-6,3.5443642E-6,3.6613219E-6,3.7821320E-6,3.9069206E-6,4.0358179E-6,4.1689584E-6,4.3064810E-6,4.4485288E-6,4.5952498E-6,4.7467966E-6,4.9033268E-6,5.0650028E-6,5.2319926E-6,5.4044693E-6,5.5826117E-6,5.7666042E-6,5.9566370E-6,6.1529067E-6,6.3556157E-6,6.5649732E-6,6.7811948E-6,7.0045032E-6,7.2351278E-6,7.4733055E-6,7.7192807E-6,7.9733051E-6,8.2356389E-6,8.5065499E-6,8.7863148E-6,9.0752184E-6,9.3735549E-6,9.6816274E-6,9.9997483E-6,10.328240E-6,10.667435E-6,11.017675E-6,11.379313E-6,11.752714E-6,12.138251E-6,12.536313E-6
72.0E-3,2.3374877E-6,2.4146556E-6,2.4943695E-6,2.5767130E-6,2.6617727E-6,2.7496377E-6,2.8404004E-6,2.9341558E-6,3.0310022E-6,3.1310411E-6,3.2343773E-6,3.3411190E-6,3.4513777E-6,3.5652688E-6,3.6829113E-6,3.8044281E-6,3.9299461E-6,4.0595961E-6,4.1935134E-6,4.3318375E-6,4.4747123E-6,4.6222867E-6,4.7747139E-6,4.9321523E-6,5.0947654E-6,5.2627219E-6,5.4361959E-6,5.6153669E-6,5.8004203E-6,5.9915474E-6,6.1889457E-6,6.3928186E-6,6.6033764E-6,6.8208358E-6,7.0454205E-6,7.2773611E-6,7.5168956E-6,7.7642696E-6,8.0197361E-6,8.2835565E-6,8.5560000E-6,8.8373444E-6,9.1278761E-6,9.4278906E-6,9.7376923E-6,10.057595E-6,10.387924E-6,10.729010E-6,11.081200E-6,11.444848E-6,11.820318E-6
74.0E-3,2.2047472E-6,2.2775331E-6,2.3527206E-6,2.4303886E-6,2.5106187E-6,2.5934951E-6,2.6791047E-6,2.7675374E-6,2.8588859E-6,2.9532459E-6,3.0507163E-6,3.1513992E-6,3.2553998E-6,3.3628271E-6,3.4737933E-6,3.5884143E-6,3.7068099E-6,3.8291037E-6,3.9554231E-6,4.0859000E-6,4.2206701E-6,4.3598739E-6,4.5036561E-6,4.6521662E-6,4.8055585E-6,4.9639922E-6,5.1276316E-6,5.2966463E-6,5.4712113E-6,5.6515073E-6,5.8377204E-6,6.0300431E-6,6.2286737E-6,6.4338169E-6,6.6456839E-6,6.8644927E-6,7.0904679E-6,7.3238414E-6,7.5648524E-6,7.8137476E-6,8.0707816E-6,8.3362166E-6,8.6103234E-6,8.8933811E-6,9.1856775E-6,9.4875094E-6,9.7991829E-6,10.121013E-6,10.453326E-6,10.796457E-6,11.150751E-6
76.0E-3,2.0811801E-6,2.1498847E-6,2.2208563E-6,2.2941692E-6,2.3699005E-6,2.4481298E-6,2.5289390E-6,2.6124131E-6,2.6986395E-6,2.7877086E-6,2.8797137E-6,2.9747512E-6,3.0729206E-6,3.1743245E-6,3.2790689E-6,3.3872635E-6,3.4990211E-6,3.6144585E-6,3.7336961E-6,3.8568581E-6,3.9840731E-6,4.1154733E-6,4.2511956E-6,4.3913812E-6,4.5361756E-6,4.6857292E-6,4.8401973E-6,4.9997398E-6,5.1645222E-6,5.3347150E-6,5.5104941E-6,5.6920412E-6,5.8795436E-6,6.0731947E-6,6.2731939E-6,6.4797472E-6,6.6930667E-6,6.9133716E-6,7.1408879E-6,7.3758485E-6,7.6184940E-6,7.8690722E-6,8.1278391E-6,8.3950583E-6,8.6710018E-6,8.9559503E-6,9.2501929E-6,9.5540278E-6,9.8677626E-6,10.191714E-6,10.526210E-6
78.0E-3,1.9664225E-6,2.0313348E-6,2.0983887E-6,2.1676547E-6,2.2392054E-6,2.3131159E-6,2.3894639E-6,2.4683295E-6,2.5497952E-6,2.6339465E-6,2.7208716E-6,2.8106615E-6,2.9034101E-6,2.9992145E-6,3.0981748E-6,3.2003945E-6,3.3059803E-6,3.4150425E-6,3.5276948E-6,3.6440547E-6,3.7642435E-6,3.8883862E-6,4.0166121E-6,4.1490546E-6,4.2858512E-6,4.4271440E-6,4.5730796E-6,4.7238094E-6,4.8794894E-6,5.0402808E-6,5.2063499E-6,5.3778683E-6,5.5550131E-6,5.7379669E-6,5.9269183E-6,6.1220617E-6,6.3235977E-6,6.5317335E-6,6.7466825E-6,6.9686650E-6,7.1979083E-6,7.4346467E-6,7.6791220E-6,7.9315834E-6,8.1922882E-6,8.4615016E-6,8.7394968E-6,9.0265560E-6,9.3229699E-6,9.6290381E-6,9.9450699E-6
80.0E-3,1.8600771E-6,1.9214732E-6,1.9848947E-6,2.0504081E-6,2.1180823E-6,2.1879882E-6,2.2601991E-6,2.3347909E-6,2.4118416E-6,2.4914320E-6,2.5736455E-6,2.6585681E-6,2.7462887E-6,2.8368990E-6,2.9304937E-6,3.0271706E-6,3.1270307E-6,3.2301782E-6,3.3367205E-6,3.4467689E-6,3.5604379E-6,3.6778459E-6,3.7991149E-6,3.9243711E-6,4.0537446E-6,4.1873697E-6,4.3253850E-6,4.4679335E-6,4.6151629E-6,4.7672255E-6,4.9242786E-6,5.0864844E-6,5.2540102E-6,5.4270289E-6,5.6057187E-6,5.7902633E-6,5.9808526E-6,6.1776823E-6,6.3809542E-6,6.5908768E-6,6.8076647E-6,7.0315397E-6,7.2627303E-6,7.5014723E-6,7.7480088E-6,8.0025906E-6,8.2654764E-6,8.5369327E-6,8.8172346E-6,9.1066655E-6,9.4055177E-6
82.0E-3,1.7617212E-6,1.8198638E-6,1.8799240E-6,1.9419649E-6,2.0060517E-6,2.0722514E-6,2.1406336E-6,2.2112699E-6,2.2842343E-6,2.3596032E-6,2.4374556E-6,2.5178728E-6,2.6009389E-6,2.6867409E-6,2.7753682E-6,2.8669135E-6,2.9614724E-6,3.0591433E-6,3.1600281E-6,3.2642320E-6,3.3718633E-6,3.4830341E-6,3.5978600E-6,3.7164602E-6,3.8389579E-6,3.9654802E-6,4.0961582E-6,4.2311272E-6,4.3705271E-6,4.5145018E-6,4.6632003E-6,4.8167759E-6,4.9753872E-6,5.1391975E-6,5.3083754E-6,5.4830949E-6,5.6635356E-6,5.8498826E-6,6.0423270E-6,6.2410658E-6,6.4463022E-6,6.6582461E-6,6.8771136E-6,7.1031278E-6,7.3365188E-6,7.5775238E-6,7.8263876E-6,8.0833623E-6,8.3487082E-6,8.6226935E-6,8.9055948E-6
84.0E-3,1.6709156E-6,1.7260529E-6,1.7830083E-6,1.8418416E-6,1.9026144E-6,1.9653904E-6,2.0302355E-6,2.0972176E-6,2.1664067E-6,2.2378752E-6,2.3116980E-6,2.3879523E-6,2.4667176E-6,2.5480763E-6,2.6321132E-6,2.7189162E-6,2.8085756E-6,2.9011849E-6,2.9968406E-6,3.0956422E-6,3.1976925E-6,3.3030975E-6,3.4119668E-6,3.5244134E-6,3.6405538E-6,3.7605086E-6,3.8844018E-6,4.0123617E-6,4.1445206E-6,4.2810151E-6,4.4219860E-6,4.5675787E-6,4.7179433E-6,4.8732344E-6,5.0336118E-6,5.1992403E-6,5.3702897E-6,5.5469356E-6,5.7293586E-6,5.9177456E-6,6.1122888E-6,6.3131870E-6,6.5206447E-6,6.7348734E-6,6.9560906E-6,7.1845212E-6,7.4203967E-6,7.6639560E-6,7.9154453E-6,8.1751188E-6,8.4432382E-6
86.0E-3,1.5872117E-6,1.6395774E-6,1.6936694E-6,1.7495444E-6,1.8072607E-6,1.8668790E-6,1.9284616E-6,1.9920730E-6,2.0577796E-6,2.1256503E-6,2.1957559E-6,2.2681697E-6,2.3429672E-6,2.4202266E-6,2.5000283E-6,2.5824555E-6,2.6675942E-6,2.7555329E-6,2.8463631E-6,2.9401792E-6,3.0370788E-6,3.1371624E-6,3.2405338E-6,3.3473003E-6,3.4575725E-6,3.5714644E-6,3.6890939E-6,3.8105826E-6,3.9360559E-6,4.0656433E-6,4.1994783E-6,4.3376987E-6,4.4804469E-6,4.6278695E-6,4.7801178E-6,4.9373481E-6,5.0997215E-6,5.2674042E-6,5.4405676E-6,5.6193885E-6,5.8040495E-6,5.9947386E-6,6.1916499E-6,6.3949835E-6,6.6049459E-6,6.8217499E-6,7.0456149E-6,7.2767674E-6,7.5154405E-6,7.7618751E-6,8.0163191E-6
88.0E-3,1.5101585E-6,1.5599719E-6,1.6114267E-6,1.6645770E-6,1.7194783E-6,1.7761880E-6,1.8347656E-6,1.8952722E-6,1.9577710E-6,2.0223274E-6,2.0890087E-6,2.1578845E-6,2.2290265E-6,2.3025091E-6,2.3784086E-6,2.4568041E-6,2.5377772E-6,2.6214120E-6,2.7077954E-6,2.7970172E-6,2.8891698E-6,2.9843489E-6,3.0826530E-6,3.1841840E-6,3.2890467E-6,3.3973497E-6,3.5092047E-6,3.6247273E-6,3.7440364E-6,3.8672549E-6,3.9945097E-6,4.1259316E-6,4.2616556E-6,4.4018208E-6,4.5465711E-6,4.6960545E-6,4.8504240E-6,5.0098373E-6,5.1744571E-6,5.3444511E-6,5.5199924E-6,5.7012595E-6,5.8884365E-6,6.0817132E-6,6.2812854E-6,6.4873550E-6,6.7001301E-6,6.9198254E-6,7.1466622E-6,7.3808686E-6,7.6226799E-6
