Vds ,gm@Vgs 0.35 ,gm@Vgs 0.351 ,gm@Vgs 0.352 ,gm@Vgs 0.353 ,gm@Vgs 0.354 ,gm@Vgs 0.355 ,gm@Vgs 0.356 ,gm@Vgs 0.357 ,gm@Vgs 0.358 ,gm@Vgs 0.359 ,gm@Vgs 0.36 ,gm@Vgs 0.361 ,gm@Vgs 0.362 ,gm@Vgs 0.363 ,gm@Vgs 0.364 ,gm@Vgs 0.365 ,gm@Vgs 0.366 ,gm@Vgs 0.367 ,gm@Vgs 0.368 ,gm@Vgs 0.369 ,gm@Vgs 0.37 ,gm@Vgs 0.371 ,gm@Vgs 0.372 ,gm@Vgs 0.373 ,gm@Vgs 0.374 ,gm@Vgs 0.375 ,gm@Vgs 0.376 ,gm@Vgs 0.377 ,gm@Vgs 0.378 ,gm@Vgs 0.379 ,gm@Vgs 0.38 ,gm@Vgs 0.381 ,gm@Vgs 0.382 ,gm@Vgs 0.383 ,gm@Vgs 0.384 ,gm@Vgs 0.385 ,gm@Vgs 0.386 ,gm@Vgs 0.387 ,gm@Vgs 0.388 ,gm@Vgs 0.389 ,gm@Vgs 0.39 ,gm@Vgs 0.391 ,gm@Vgs 0.392 ,gm@Vgs 0.393 ,gm@Vgs 0.394 ,gm@Vgs 0.395 ,gm@Vgs 0.396 ,gm@Vgs 0.397 ,gm@Vgs 0.398 ,gm@Vgs 0.399 ,gm@Vgs 0.4 
20.0E-3,25.555375E-6,26.098164E-6,26.647078E-6,27.202029E-6,27.762925E-6,28.329671E-6,28.902171E-6,29.480328E-6,30.064039E-6,30.653203E-6,31.247717E-6,31.847474E-6,32.452370E-6,33.062295E-6,33.677142E-6,34.296800E-6,34.921161E-6,35.550113E-6,36.183546E-6,36.821347E-6,37.463405E-6,38.109609E-6,38.759846E-6,39.414004E-6,40.071972E-6,40.733636E-6,41.398887E-6,42.067611E-6,42.739699E-6,43.415038E-6,44.093519E-6,44.775031E-6,45.459465E-6,46.146712E-6,46.836662E-6,47.529208E-6,48.224244E-6,48.921661E-6,49.621355E-6,50.323222E-6,51.027156E-6,51.733057E-6,52.440823E-6,53.150352E-6,53.861548E-6,54.574312E-6,55.288549E-6,56.004165E-6,56.721066E-6,57.439164E-6,58.158368E-6
22.0E-3,27.488261E-6,28.077264E-6,28.673091E-6,29.275647E-6,29.884837E-6,30.500561E-6,31.122716E-6,31.751198E-6,32.385899E-6,33.026710E-6,33.673520E-6,34.326216E-6,34.984683E-6,35.648804E-6,36.318464E-6,36.993542E-6,37.673921E-6,38.359479E-6,39.050096E-6,39.745650E-6,40.446019E-6,41.151082E-6,41.860715E-6,42.574795E-6,43.293201E-6,44.015810E-6,44.742497E-6,45.473143E-6,46.207623E-6,46.945815E-6,47.687600E-6,48.432853E-6,49.181456E-6,49.933288E-6,50.688229E-6,51.446159E-6,52.206961E-6,52.970517E-6,53.736711E-6,54.505425E-6,55.276547E-6,56.049961E-6,56.825557E-6,57.603222E-6,58.382847E-6,59.164324E-6,59.947546E-6,60.732409E-6,61.518808E-6,62.306644E-6,63.095815E-6
24.0E-3,29.322780E-6,29.956432E-6,30.597613E-6,31.246225E-6,31.902168E-6,32.565338E-6,33.235627E-6,33.912926E-6,34.597121E-6,35.288096E-6,35.985735E-6,36.689917E-6,37.400519E-6,38.117419E-6,38.840490E-6,39.569606E-6,40.304639E-6,41.045459E-6,41.791936E-6,42.543940E-6,43.301339E-6,44.064000E-6,44.831791E-6,45.604579E-6,46.382231E-6,47.164613E-6,47.951592E-6,48.743035E-6,49.538809E-6,50.338780E-6,51.142816E-6,51.950785E-6,52.762554E-6,53.577993E-6,54.396970E-6,55.219355E-6,56.045019E-6,56.873833E-6,57.705669E-6,58.540400E-6,59.377901E-6,60.218047E-6,61.060714E-6,61.905780E-6,62.753125E-6,63.602630E-6,64.454176E-6,65.307648E-6,66.162933E-6,67.019917E-6,67.878490E-6
26.0E-3,31.062709E-6,31.739438E-6,32.424405E-6,33.117511E-6,33.818652E-6,34.527721E-6,35.244605E-6,35.969192E-6,36.701362E-6,37.440996E-6,38.187969E-6,38.942155E-6,39.703427E-6,40.471652E-6,41.246699E-6,42.028433E-6,42.816718E-6,43.611417E-6,44.412390E-6,45.219498E-6,46.032600E-6,46.851554E-6,47.676219E-6,48.506451E-6,49.342107E-6,50.183044E-6,51.029118E-6,51.880185E-6,52.736102E-6,53.596724E-6,54.461908E-6,55.331512E-6,56.205391E-6,57.083405E-6,57.965410E-6,58.851265E-6,59.740831E-6,60.633967E-6,61.530534E-6,62.430394E-6,63.333411E-6,64.239449E-6,65.148373E-6,66.060050E-6,66.974349E-6,67.891140E-6,68.810293E-6,69.731682E-6,70.655183E-6,71.580671E-6,72.508026E-6
28.0E-3,32.711798E-6,33.430032E-6,34.157216E-6,34.893249E-6,35.638026E-6,36.391435E-6,37.153364E-6,37.923695E-6,38.702305E-6,39.489070E-6,40.283862E-6,41.086548E-6,41.896996E-6,42.715068E-6,43.540625E-6,44.373526E-6,45.213628E-6,46.060785E-6,46.914852E-6,47.775680E-6,48.643119E-6,49.517020E-6,50.397230E-6,51.283599E-6,52.175973E-6,53.074199E-6,53.978123E-6,54.887592E-6,55.802451E-6,56.722547E-6,57.647724E-6,58.577830E-6,59.512711E-6,60.452214E-6,61.396185E-6,62.344473E-6,63.296927E-6,64.253394E-6,65.213726E-6,66.177774E-6,67.145389E-6,68.116425E-6,69.090737E-6,70.068179E-6,71.048611E-6,72.031890E-6,73.017877E-6,74.006434E-6,74.997426E-6,75.990718E-6,76.986178E-6
30.0E-3,34.273759E-6,35.031931E-6,35.799765E-6,36.577159E-6,37.364006E-6,38.160195E-6,38.965611E-6,39.780133E-6,40.603636E-6,41.435993E-6,42.277071E-6,43.126735E-6,43.984846E-6,44.851262E-6,45.725839E-6,46.608430E-6,47.498884E-6,48.397051E-6,49.302776E-6,50.215905E-6,51.136279E-6,52.063742E-6,52.998132E-6,53.939289E-6,54.887052E-6,55.841258E-6,56.801744E-6,57.768346E-6,58.740901E-6,59.719244E-6,60.703212E-6,61.692640E-6,62.687363E-6,63.687219E-6,64.692044E-6,65.701675E-6,66.715949E-6,67.734706E-6,68.757783E-6,69.785022E-6,70.816264E-6,71.851350E-6,72.890125E-6,73.932433E-6,74.978121E-6,76.027036E-6,77.079029E-6,78.133950E-6,79.191652E-6,80.251992E-6,81.314825E-6
32.0E-3,35.752249E-6,36.548803E-6,37.355728E-6,38.172922E-6,39.000280E-6,39.837689E-6,40.685033E-6,41.542190E-6,42.409034E-6,43.285435E-6,44.171257E-6,45.066363E-6,45.970610E-6,46.883851E-6,47.805938E-6,48.736719E-6,49.676038E-6,50.623739E-6,51.579661E-6,52.543642E-6,53.515519E-6,54.495125E-6,55.482293E-6,56.476854E-6,57.478639E-6,58.487477E-6,59.503195E-6,60.525620E-6,61.554581E-6,62.589902E-6,63.631411E-6,64.678932E-6,65.732292E-6,66.791317E-6,67.855833E-6,68.925667E-6,70.000646E-6,71.080597E-6,72.165350E-6,73.254732E-6,74.348576E-6,75.446712E-6,76.548972E-6,77.655192E-6,78.765206E-6,79.878852E-6,80.995967E-6,82.116393E-6,83.239972E-6,84.366548E-6,85.495967E-6
34.0E-3,37.150860E-6,37.984256E-6,38.828727E-6,39.684172E-6,40.550488E-6,41.427563E-6,42.315281E-6,43.213519E-6,44.122152E-6,45.041046E-6,45.970067E-6,46.909072E-6,47.857917E-6,48.816452E-6,49.784526E-6,50.761982E-6,51.748661E-6,52.744400E-6,53.749034E-6,54.762396E-6,55.784315E-6,56.814618E-6,57.853133E-6,58.899682E-6,59.954089E-6,61.016174E-6,62.085757E-6,63.162658E-6,64.246694E-6,65.337683E-6,66.435441E-6,67.539785E-6,68.650531E-6,69.767495E-6,70.890494E-6,72.019344E-6,73.153862E-6,74.293865E-6,75.439172E-6,76.589601E-6,77.744971E-6,78.905104E-6,80.069822E-6,81.238948E-6,82.412306E-6,83.589722E-6,84.771025E-6,85.956045E-6,87.144611E-6,88.336559E-6,89.531723E-6
36.0E-3,38.473108E-6,39.341825E-6,40.222314E-6,41.114478E-6,42.018215E-6,42.933414E-6,43.859961E-6,44.797734E-6,45.746607E-6,46.706448E-6,47.677119E-6,48.658479E-6,49.650382E-6,50.652675E-6,51.665204E-6,52.687809E-6,53.720329E-6,54.762596E-6,55.814440E-6,56.875690E-6,57.946170E-6,59.025703E-6,60.114107E-6,61.211200E-6,62.316799E-6,63.430718E-6,64.552768E-6,65.682761E-6,66.820507E-6,67.965814E-6,69.118492E-6,70.278348E-6,71.445188E-6,72.618819E-6,73.799049E-6,74.985684E-6,76.178531E-6,77.377397E-6,78.582090E-6,79.792419E-6,81.008193E-6,82.229222E-6,83.455318E-6,84.686294E-6,85.921963E-6,87.162140E-6,88.406644E-6,89.655292E-6,90.907906E-6,92.164307E-6,93.424322E-6
38.0E-3,39.722424E-6,40.624965E-6,41.539967E-6,42.467337E-6,43.406974E-6,44.358771E-6,45.322617E-6,46.298390E-6,47.285966E-6,48.285214E-6,49.295996E-6,50.318170E-6,51.351590E-6,52.396103E-6,53.451552E-6,54.517776E-6,55.594609E-6,56.681883E-6,57.779425E-6,58.887058E-6,60.004602E-6,61.131875E-6,62.268692E-6,63.414864E-6,64.570202E-6,65.734513E-6,66.907603E-6,68.089276E-6,69.279335E-6,70.477581E-6,71.683814E-6,72.897833E-6,74.119438E-6,75.348426E-6,76.584595E-6,77.827742E-6,79.077665E-6,80.334161E-6,81.597029E-6,82.866067E-6,84.141075E-6,85.421852E-6,86.708200E-6,87.999921E-6,89.296819E-6,90.598697E-6,91.905364E-6,93.216627E-6,94.532296E-6,95.852183E-6,97.176103E-6
