Vds ,id@Vgs 0.275  (A),id@Vgs 0.276  (A),id@Vgs 0.277  (A),id@Vgs 0.278  (A),id@Vgs 0.279  (A),id@Vgs 0.28  (A),id@Vgs 0.281  (A),id@Vgs 0.282  (A),id@Vgs 0.283  (A),id@Vgs 0.284  (A),id@Vgs 0.285  (A),id@Vgs 0.286  (A),id@Vgs 0.287  (A),id@Vgs 0.288  (A),id@Vgs 0.289  (A),id@Vgs 0.29  (A),id@Vgs 0.291  (A),id@Vgs 0.292  (A),id@Vgs 0.293  (A),id@Vgs 0.294  (A),id@Vgs 0.295  (A),id@Vgs 0.296  (A),id@Vgs 0.297  (A),id@Vgs 0.298  (A),id@Vgs 0.299  (A),id@Vgs 0.3  (A),id@Vgs 0.301  (A),id@Vgs 0.302  (A),id@Vgs 0.303  (A),id@Vgs 0.304  (A),id@Vgs 0.305  (A),id@Vgs 0.306  (A),id@Vgs 0.307  (A),id@Vgs 0.308  (A),id@Vgs 0.309  (A),id@Vgs 0.31  (A),id@Vgs 0.311  (A),id@Vgs 0.312  (A),id@Vgs 0.313  (A),id@Vgs 0.314  (A),id@Vgs 0.315  (A),id@Vgs 0.316  (A),id@Vgs 0.317  (A),id@Vgs 0.318  (A),id@Vgs 0.319  (A),id@Vgs 0.32  (A),id@Vgs 0.321  (A),id@Vgs 0.322  (A),id@Vgs 0.323  (A),id@Vgs 0.324  (A),id@Vgs 0.325  (A)
70.0E-3,536.51042E-9,554.67651E-9,573.44111E-9,592.82229E-9,612.83852E-9,633.50870E-9,654.85213E-9,676.88854E-9,699.63809E-9,723.12132E-9,747.35924E-9,772.37322E-9,798.18509E-9,824.81706E-9,852.29175E-9,880.63219E-9,909.86182E-9,940.00444E-9,971.08427E-9,1.0031259E-6,1.0361543E-6,1.0701947E-6,1.1052730E-6,1.1414151E-6,1.1786473E-6,1.2169965E-6,1.2564897E-6,1.2971541E-6,1.3390176E-6,1.3821079E-6,1.4264534E-6,1.4720826E-6,1.5190242E-6,1.5673071E-6,1.6169608E-6,1.6680145E-6,1.7204979E-6,1.7744410E-6,1.8298736E-6,1.8868261E-6,1.9453286E-6,2.0054118E-6,2.0671062E-6,2.1304425E-6,2.1954515E-6,2.2621640E-6,2.3306109E-6,2.4008234E-6,2.4728322E-6,2.5466686E-6,2.6223634E-6
72.0E-3,539.75708E-9,558.03534E-9,576.91607E-9,596.41745E-9,616.55812E-9,637.35711E-9,658.83389E-9,681.00835E-9,703.90080E-9,727.53197E-9,751.92304E-9,777.09558E-9,803.07160E-9,829.87350E-9,857.52412E-9,886.04669E-9,915.46487E-9,945.80269E-9,977.08460E-9,1.0093354E-6,1.0425804E-6,1.0768450E-6,1.1121553E-6,1.1485376E-6,1.1860186E-6,1.2246251E-6,1.2643847E-6,1.3053249E-6,1.3474738E-6,1.3908595E-6,1.4355107E-6,1.4814563E-6,1.5287252E-6,1.5773470E-6,1.6273511E-6,1.6787675E-6,1.7316261E-6,1.7859573E-6,1.8417915E-6,1.8991593E-6,1.9580915E-6,2.0186190E-6,2.0807728E-6,2.1445842E-6,2.2100844E-6,2.2773048E-6,2.3462768E-6,2.4170320E-6,2.4896018E-6,2.5640179E-6,2.6403119E-6
74.0E-3,542.78127E-9,561.16404E-9,580.15295E-9,599.76632E-9,620.02291E-9,640.94191E-9,662.54292E-9,684.84599E-9,707.87158E-9,731.64060E-9,756.17437E-9,781.49464E-9,807.62361E-9,834.58385E-9,862.39840E-9,891.09070E-9,920.68459E-9,951.20432E-9,982.67455E-9,1.0151203E-6,1.0485671E-6,1.0830407E-6,1.1185674E-6,1.1551736E-6,1.1928864E-6,1.2317329E-6,1.2717409E-6,1.3129382E-6,1.3553532E-6,1.3990144E-6,1.4439507E-6,1.4901913E-6,1.5377656E-6,1.5867033E-6,1.6370345E-6,1.6887892E-6,1.7419979E-6,1.7966913E-6,1.8529002E-6,1.9106557E-6,1.9699888E-6,2.0309310E-6,2.0935139E-6,2.1577689E-6,2.2237279E-6,2.2914226E-6,2.3608851E-6,2.4321474E-6,2.5052414E-6,2.5801993E-6,2.6570532E-6
76.0E-3,545.59865E-9,564.07879E-9,583.16849E-9,602.88620E-9,623.25080E-9,644.28161E-9,665.99838E-9,688.42128E-9,711.57093E-9,735.46839E-9,760.13513E-9,785.59307E-9,811.86455E-9,838.97236E-9,866.93968E-9,895.79014E-9,925.54777E-9,956.23704E-9,987.88280E-9,1.0205103E-6,1.0541452E-6,1.0888136E-6,1.1245419E-6,1.1613569E-6,1.1992857E-6,1.2383560E-6,1.2785955E-6,1.3200326E-6,1.3626957E-6,1.4066138E-6,1.4518159E-6,1.4983317E-6,1.5461908E-6,1.5954232E-6,1.6460594E-6,1.6981297E-6,1.7516651E-6,1.8066964E-6,1.8632550E-6,1.9213722E-6,1.9810796E-6,2.0424089E-6,2.1053922E-6,2.1700614E-6,2.2364487E-6,2.3045864E-6,2.3745070E-6,2.4462428E-6,2.5198265E-6,2.5952906E-6,2.6726677E-6
78.0E-3,548.22386E-9,566.79473E-9,585.97835E-9,605.79329E-9,626.25854E-9,647.39354E-9,669.21817E-9,691.75275E-9,715.01801E-9,739.03516E-9,763.82581E-9,789.41204E-9,815.81635E-9,843.06167E-9,871.17137E-9,900.16924E-9,930.07949E-9,960.92677E-9,992.73612E-9,1.0255330E-6,1.0593433E-6,1.0941932E-6,1.1301095E-6,1.1671190E-6,1.2052493E-6,1.2445282E-6,1.2849836E-6,1.3266442E-6,1.3695387E-6,1.4136962E-6,1.4591463E-6,1.5059187E-6,1.5540434E-6,1.6035507E-6,1.6544713E-6,1.7068361E-6,1.7606761E-6,1.8160228E-6,1.8729076E-6,1.9313623E-6,1.9914189E-6,2.0531095E-6,2.1164665E-6,2.1815223E-6,2.2483095E-6,2.3168608E-6,2.3872091E-6,2.4593872E-6,2.5334282E-6,2.6093651E-6,2.6872311E-6
80.0E-3,550.67058E-9,569.32601E-9,588.59716E-9,608.50271E-9,629.06177E-9,650.29389E-9,672.21905E-9,694.85771E-9,718.23072E-9,742.35943E-9,767.26558E-9,792.97138E-9,819.49949E-9,846.87299E-9,875.11540E-9,904.25067E-9,934.30318E-9,965.29775E-9,997.25959E-9,1.0302144E-6,1.0641881E-6,1.0992073E-6,1.1352988E-6,1.1724898E-6,1.2108079E-6,1.2502812E-6,1.2909379E-6,1.3328069E-6,1.3759171E-6,1.4202980E-6,1.4659792E-6,1.5129909E-6,1.5613633E-6,1.6111270E-6,1.6623130E-6,1.7149524E-6,1.7690766E-6,1.8247173E-6,1.8819065E-6,1.9406761E-6,2.0010586E-6,2.0630864E-6,2.1267922E-6,2.1922088E-6,2.2593692E-6,2.3283066E-6,2.3990541E-6,2.4716452E-6,2.5461132E-6,2.6224918E-6,2.7008143E-6
82.0E-3,552.95161E-9,571.68588E-9,591.03863E-9,611.02866E-9,631.67517E-9,652.99781E-9,675.01670E-9,697.75238E-9,721.22585E-9,745.45855E-9,770.47237E-9,796.28966E-9,822.93318E-9,850.42617E-9,878.79230E-9,908.05566E-9,938.24080E-9,969.37268E-9,1.0014767E-6,1.0345787E-6,1.0687048E-6,1.1038818E-6,1.1401366E-6,1.1774968E-6,1.2159900E-6,1.2556446E-6,1.2964891E-6,1.3385524E-6,1.3818638E-6,1.4264529E-6,1.4723497E-6,1.5195845E-6,1.5681879E-6,1.6181908E-6,1.6696242E-6,1.7225198E-6,1.7769091E-6,1.8328242E-6,1.8902973E-6,1.9493607E-6,2.0100472E-6,2.0723896E-6,2.1364208E-6,2.2021742E-6,2.2696830E-6,2.3389807E-6,2.4101009E-6,2.4830775E-6,2.5579443E-6,2.6347351E-6,2.7134840E-6
84.0E-3,555.07898E-9,573.88676E-9,593.31561E-9,613.38442E-9,634.11247E-9,655.51954E-9,677.62582E-9,700.45198E-9,724.01912E-9,748.34880E-9,773.46303E-9,799.38426E-9,826.13540E-9,853.73982E-9,882.22131E-9,911.60412E-9,941.91293E-9,973.17286E-9,1.0054095E-6,1.0386487E-6,1.0729170E-6,1.1082411E-6,1.1446483E-6,1.1821661E-6,1.2208227E-6,1.2606464E-6,1.3016659E-6,1.3439104E-6,1.3874094E-6,1.4321928E-6,1.4782907E-6,1.5257336E-6,1.5745524E-6,1.6247783E-6,1.6764426E-6,1.7295771E-6,1.7842137E-6,1.8403848E-6,1.8981227E-6,1.9574603E-6,2.0184304E-6,2.0810663E-6,2.1454012E-6,2.2114688E-6,2.2793027E-6,2.3489367E-6,2.4204048E-6,2.4937413E-6,2.5689802E-6,2.6461560E-6,2.7253030E-6
86.0E-3,557.06396E-9,575.94032E-9,595.44016E-9,615.58245E-9,636.38658E-9,657.87241E-9,680.06022E-9,702.97078E-9,726.62530E-9,751.04545E-9,776.25333E-9,802.27153E-9,829.12306E-9,856.83142E-9,885.42052E-9,914.91475E-9,945.33892E-9,976.71828E-9,1.0090785E-6,1.0424458E-6,1.0768467E-6,1.1123080E-6,1.1488573E-6,1.1865223E-6,1.2253312E-6,1.2653125E-6,1.3064953E-6,1.3489089E-6,1.3925829E-6,1.4375474E-6,1.4838329E-6,1.5314700E-6,1.5804898E-6,1.6309237E-6,1.6828033E-6,1.7361607E-6,1.7910281E-6,1.8474379E-6,1.9054230E-6,1.9650163E-6,2.0262511E-6,2.0891608E-6,2.1537792E-6,2.2201399E-6,2.2882772E-6,2.3582250E-6,2.4300179E-6,2.5036902E-6,2.5792766E-6,2.6568117E-6,2.7363303E-6
88.0E-3,558.91715E-9,577.85752E-9,597.42362E-9,617.63450E-9,638.50964E-9,660.06896E-9,682.33287E-9,705.32221E-9,729.05827E-9,753.56284E-9,778.85813E-9,804.96682E-9,831.91204E-9,859.71739E-9,888.40692E-9,918.00511E-9,948.53693E-9,980.02774E-9,1.0125034E-6,1.0459901E-6,1.0805147E-6,1.1161041E-6,1.1527860E-6,1.1905882E-6,1.2295393E-6,1.2696678E-6,1.3110029E-6,1.3535741E-6,1.3974114E-6,1.4425450E-6,1.4890054E-6,1.5368237E-6,1.5860310E-6,1.6366590E-6,1.6887396E-6,1.7423050E-6,1.7973876E-6,1.8540202E-6,1.9122358E-6,1.9720678E-6,2.0335496E-6,2.0967149E-6,2.1615977E-6,2.2282321E-6,2.2966524E-6,2.3668932E-6,2.4389891E-6,2.5129749E-6,2.5888856E-6,2.6667561E-6,2.7466217E-6
