Vds ,gds@Vgs 0.275 ,gds@Vgs 0.276 ,gds@Vgs 0.277 ,gds@Vgs 0.278 ,gds@Vgs 0.279 ,gds@Vgs 0.28 ,gds@Vgs 0.281 ,gds@Vgs 0.282 ,gds@Vgs 0.283 ,gds@Vgs 0.284 ,gds@Vgs 0.285 ,gds@Vgs 0.286 ,gds@Vgs 0.287 ,gds@Vgs 0.288 ,gds@Vgs 0.289 ,gds@Vgs 0.29 ,gds@Vgs 0.291 ,gds@Vgs 0.292 ,gds@Vgs 0.293 ,gds@Vgs 0.294 ,gds@Vgs 0.295 ,gds@Vgs 0.296 ,gds@Vgs 0.297 ,gds@Vgs 0.298 ,gds@Vgs 0.299 ,gds@Vgs 0.3 ,gds@Vgs 0.301 ,gds@Vgs 0.302 ,gds@Vgs 0.303 ,gds@Vgs 0.304 ,gds@Vgs 0.305 ,gds@Vgs 0.306 ,gds@Vgs 0.307 ,gds@Vgs 0.308 ,gds@Vgs 0.309 ,gds@Vgs 0.31 ,gds@Vgs 0.311 ,gds@Vgs 0.312 ,gds@Vgs 0.313 ,gds@Vgs 0.314 ,gds@Vgs 0.315 ,gds@Vgs 0.316 ,gds@Vgs 0.317 ,gds@Vgs 0.318 ,gds@Vgs 0.319 ,gds@Vgs 0.32 ,gds@Vgs 0.321 ,gds@Vgs 0.322 ,gds@Vgs 0.323 ,gds@Vgs 0.324 ,gds@Vgs 0.325 
70.0E-3,1.6816859E-6,1.7397901E-6,1.7999354E-6,1.8621945E-6,1.9266427E-6,1.9933581E-6,2.0624214E-6,2.1339160E-6,2.2079284E-6,2.2845479E-6,2.3638670E-6,2.4459812E-6,2.5309895E-6,2.6189938E-6,2.7100997E-6,2.8044165E-6,2.9020566E-6,3.0031366E-6,3.1077765E-6,3.2161004E-6,3.3282364E-6,3.4443166E-6,3.5644772E-6,3.6888589E-6,3.8176067E-6,3.9508699E-6,4.0888025E-6,4.2315632E-6,4.3793154E-6,4.5322275E-6,4.6904726E-6,4.8542292E-6,5.0236806E-6,5.1990156E-6,5.3804283E-6,5.5681182E-6,5.7622904E-6,5.9631554E-6,6.1709298E-6,6.3858357E-6,6.6081011E-6,6.8379602E-6,7.0756531E-6,7.3214260E-6,7.5755313E-6,7.8382279E-6,8.1097807E-6,8.3904614E-6,8.6805479E-6,8.9803248E-6,9.2900831E-6
72.0E-3,1.5663598E-6,1.6204861E-6,1.6765144E-6,1.7345129E-6,1.7945517E-6,1.8567037E-6,1.9210443E-6,1.9876514E-6,2.0566056E-6,2.1279905E-6,2.2018925E-6,2.2784008E-6,2.3576077E-6,2.4396089E-6,2.5245029E-6,2.6123917E-6,2.7033808E-6,2.7975790E-6,2.8950988E-6,2.9960563E-6,3.1005715E-6,3.2087679E-6,3.3207734E-6,3.4367197E-6,3.5567427E-6,3.6809824E-6,3.8095834E-6,3.9426945E-6,4.0804692E-6,4.2230655E-6,4.3706461E-6,4.5233787E-6,4.6814357E-6,4.8449948E-6,5.0142384E-6,5.1893545E-6,5.3705362E-6,5.5579820E-6,5.7518960E-6,5.9524878E-6,6.1599726E-6,6.3745715E-6,6.5965114E-6,6.8260250E-6,7.0633513E-6,7.3087350E-6,7.5624275E-6,7.8246859E-6,8.0957739E-6,8.3759617E-6,8.6655255E-6
74.0E-3,1.4591325E-6,1.5095581E-6,1.5617564E-6,1.6157908E-6,1.6717269E-6,1.7296327E-6,1.7895784E-6,1.8516369E-6,1.9158835E-6,1.9823961E-6,2.0512554E-6,2.1225448E-6,2.1963505E-6,2.2727619E-6,2.3518710E-6,2.4337734E-6,2.5185674E-6,2.6063550E-6,2.6972412E-6,2.7913349E-6,2.8887480E-6,2.9895966E-6,3.0940001E-6,3.2020819E-6,3.3139694E-6,3.4297938E-6,3.5496905E-6,3.6737993E-6,3.8022639E-6,3.9352328E-6,4.0728586E-6,4.2152989E-6,4.3627155E-6,4.5152755E-6,4.6731504E-6,4.8365170E-6,5.0055571E-6,5.1804574E-6,5.3614104E-6,5.5486133E-6,5.7422693E-6,5.9425869E-6,6.1497801E-6,6.3640689E-6,6.5856789E-6,6.8148417E-6,7.0517948E-6,7.2967819E-6,7.5500526E-6,7.8118630E-6,8.0824752E-6
76.0E-3,1.3594693E-6,1.4064535E-6,1.4550897E-6,1.5054372E-6,1.5575572E-6,1.6115131E-6,1.6673704E-6,1.7251972E-6,1.7850637E-6,1.8470427E-6,1.9112095E-6,1.9776419E-6,2.0464205E-6,2.1176288E-6,2.1913527E-6,2.2676815E-6,2.3467071E-6,2.4285249E-6,2.5132330E-6,2.6009332E-6,2.6917303E-6,2.7857327E-6,2.8830523E-6,2.9838046E-6,3.0881088E-6,3.1960879E-6,3.3078686E-6,3.4235820E-6,3.5433628E-6,3.6673501E-6,3.7956873E-6,3.9285220E-6,4.0660064E-6,4.2082971E-6,4.3555554E-6,4.5079474E-6,4.6656440E-6,4.8288209E-6,4.9976591E-6,5.1723444E-6,5.3530681E-6,5.5400266E-6,5.7334219E-6,5.9334614E-6,6.1403580E-6,6.3543304E-6,6.5756031E-6,6.8044064E-6,7.0409765E-6,7.2855557E-6,7.5383925E-6
78.0E-3,1.2668779E-6,1.3106628E-6,1.3559876E-6,1.4029074E-6,1.4514793E-6,1.5017625E-6,1.5538181E-6,1.6077095E-6,1.6635024E-6,1.7212647E-6,1.7810665E-6,1.8429807E-6,1.9070823E-6,1.9734493E-6,2.0421621E-6,2.1133039E-6,2.1869607E-6,2.2632215E-6,2.3421781E-6,2.4239255E-6,2.5085617E-6,2.5961882E-6,2.6869096E-6,2.7808339E-6,2.8780726E-6,2.9787409E-6,3.0829574E-6,3.1908448E-6,3.3025295E-6,3.4181416E-6,3.5378156E-6,3.6616899E-6,3.7899072E-6,3.9226145E-6,4.0599632E-6,4.2021093E-6,4.3492132E-6,4.5014401E-6,4.6589602E-6,4.8219482E-6,4.9905841E-6,5.1650529E-6,5.3455446E-6,5.5322548E-6,5.7253843E-6,5.9251392E-6,6.1317315E-6,6.3453787E-6,6.5663038E-6,6.7947361E-6,7.0309104E-6
80.0E-3,1.1809044E-6,1.2217169E-6,1.2639648E-6,1.3076996E-6,1.3529743E-6,1.3998443E-6,1.4483665E-6,1.4986002E-6,1.5506065E-6,1.6044487E-6,1.6601924E-6,1.7179055E-6,1.7776582E-6,1.8395230E-6,1.9035751E-6,1.9698922E-6,2.0385546E-6,2.1096453E-6,2.1832501E-6,2.2594579E-6,2.3383602E-6,2.4200517E-6,2.5046303E-6,2.5921970E-6,2.6828561E-6,2.7767152E-6,2.8738855E-6,2.9744816E-6,3.0786218E-6,3.1864282E-6,3.2980266E-6,3.4135467E-6,3.5331222E-6,3.6568910E-6,3.7849950E-6,3.9175806E-6,4.0547984E-6,4.1968035E-6,4.3437556E-6,4.4958190E-6,4.6531629E-6,4.8159611E-6,4.9843927E-6,5.1586416E-6,5.3388969E-6,5.5253529E-6,5.7182094E-6,5.9176714E-6,6.1239496E-6,6.3372603E-6,6.5578255E-6
82.0E-3,1.1011315E-6,1.1391842E-6,1.1785750E-6,1.2193520E-6,1.2615648E-6,1.3052647E-6,1.3505052E-6,1.3973411E-6,1.4458298E-6,1.4960302E-6,1.5480034E-6,1.6018129E-6,1.6575240E-6,1.7152046E-6,1.7749246E-6,1.8367567E-6,1.9007758E-6,1.9670594E-6,2.0356877E-6,2.1067435E-6,2.1803124E-6,2.2564828E-6,2.3353462E-6,2.4169970E-6,2.5015326E-6,2.5890537E-6,2.6796641E-6,2.7734713E-6,2.8705857E-6,2.9711216E-6,3.0751967E-6,3.1829326E-6,3.2944544E-6,3.4098913E-6,3.5293764E-6,3.6530467E-6,3.7810435E-6,3.9135124E-6,4.0506032E-6,4.1924701E-6,4.3392721E-6,4.4911725E-6,4.6483394E-6,4.8109460E-6,4.9791701E-6,5.1531945E-6,5.3332075E-6,5.5194021E-6,5.7119770E-6,5.9111361E-6,6.1170890E-6
84.0E-3,1.0271754E-6,1.0626676E-6,1.0994076E-6,1.1374401E-6,1.1768115E-6,1.2175697E-6,1.2597642E-6,1.3034466E-6,1.3486700E-6,1.3954896E-6,1.4439623E-6,1.4941473E-6,1.5461055E-6,1.5999002E-6,1.6555968E-6,1.7132629E-6,1.7729684E-6,1.8347858E-6,1.8987897E-6,1.9650576E-6,2.0336693E-6,2.1047075E-6,2.1782574E-6,2.2544073E-6,2.3332481E-6,2.4148740E-6,2.4993820E-6,2.5868724E-6,2.6774487E-6,2.7712175E-6,2.8682891E-6,2.9687772E-6,3.0727988E-6,3.1804749E-6,3.2919301E-6,3.4072928E-6,3.5266953E-6,3.6502741E-6,3.7781697E-6,3.9105267E-6,4.0474941E-6,4.1892255E-6,4.3358786E-6,4.4876160E-6,4.6446049E-6,4.8070172E-6,4.9750298E-6,5.1488247E-6,5.3285887E-6,5.5145139E-6,5.7067978E-6
86.0E-3,958.68340E-9,991.80232E-9,1.0260852E-6,1.0615736E-6,1.0983109E-6,1.1363415E-6,1.1757119E-6,1.2164700E-6,1.2586654E-6,1.3023494E-6,1.3475752E-6,1.3943979E-6,1.4428744E-6,1.4930637E-6,1.5450267E-6,1.5988266E-6,1.6545285E-6,1.7122000E-6,1.7719109E-6,1.8337332E-6,1.8977415E-6,1.9640130E-6,2.0326273E-6,2.1036666E-6,2.1772160E-6,2.2533634E-6,2.3321993E-6,2.4138175E-6,2.4983146E-6,2.5857903E-6,2.6763477E-6,2.7700930E-6,2.8671358E-6,2.9675892E-6,3.0715696E-6,3.1791974E-6,3.2905965E-6,3.4058945E-6,3.5252230E-6,3.6487178E-6,3.7765184E-6,3.9087687E-6,4.0456168E-6,4.1872153E-6,4.3337210E-6,4.4852956E-6,4.6421052E-6,4.8043208E-6,4.9721181E-6,5.1456780E-6,5.3251863E-6
88.0E-3,895.33122E-9,926.25301E-9,958.26090E-9,991.39372E-9,1.0256917E-6,1.0611965E-6,1.0979513E-6,1.1360008E-6,1.1753911E-6,1.2161703E-6,1.2583878E-6,1.3020950E-6,1.3473450E-6,1.3941928E-6,1.4426951E-6,1.4929108E-6,1.5449008E-6,1.5987279E-6,1.6544573E-6,1.7121563E-6,1.7718943E-6,1.8337433E-6,1.8977777E-6,1.9640741E-6,2.0327119E-6,2.1037731E-6,2.1773424E-6,2.2535071E-6,2.3323575E-6,2.4139868E-6,2.4984911E-6,2.5859698E-6,2.6765253E-6,2.7702632E-6,2.8672925E-6,2.9677257E-6,3.0716786E-6,3.1792708E-6,3.2906253E-6,3.4058693E-6,3.5251335E-6,3.6485526E-6,3.7762655E-6,3.9084152E-6,4.0451488E-6,4.1866180E-6,4.3329786E-6,4.4843913E-6,4.6410211E-6,4.8030381E-6,4.9706168E-6
