280.00E-3,280.00E-3,521.78677775E-3
280.05E-3,280.05E-3,521.36943977E-3
280.10E-3,280.10E-3,520.98021839E-3
280.15E-3,280.15E-3,520.59066938E-3
280.20E-3,280.20E-3,520.20079272E-3
280.25E-3,280.25E-3,519.81058840E-3
280.30E-3,280.30E-3,519.42005639E-3
280.35E-3,280.35E-3,519.02919668E-3
280.40E-3,280.40E-3,518.63800925E-3
280.45E-3,280.45E-3,518.24649408E-3
280.50E-3,280.50E-3,517.85465116E-3
280.55E-3,280.55E-3,517.46248047E-3
280.60E-3,280.60E-3,517.06998200E-3
280.65E-3,280.65E-3,516.67715573E-3
280.70E-3,280.70E-3,516.28400165E-3
280.75E-3,280.75E-3,515.89051975E-3
280.80E-3,280.80E-3,515.49671000E-3
280.85E-3,280.85E-3,515.10257241E-3
280.90E-3,280.90E-3,514.70810696E-3
280.95E-3,280.95E-3,514.31331363E-3
281.00E-3,281.00E-3,513.91819241E-3
281.05E-3,281.05E-3,513.52274331E-3
281.10E-3,281.10E-3,513.12696630E-3
281.15E-3,281.15E-3,512.73086138E-3
281.20E-3,281.20E-3,512.33442853E-3
281.25E-3,281.25E-3,511.93766776E-3
281.30E-3,281.30E-3,511.54057905E-3
281.35E-3,281.35E-3,511.14316240E-3
281.40E-3,281.40E-3,510.74541780E-3
281.45E-3,281.45E-3,510.34734524E-3
281.50E-3,281.50E-3,509.94894473E-3
281.55E-3,281.55E-3,509.55021625E-3
281.60E-3,281.60E-3,509.15115980E-3
281.65E-3,281.65E-3,508.75177538E-3
281.70E-3,281.70E-3,508.35206298E-3
281.75E-3,281.75E-3,507.95202261E-3
281.80E-3,281.80E-3,507.55165426E-3
281.85E-3,281.85E-3,507.15095792E-3
281.90E-3,281.90E-3,506.74993361E-3
281.95E-3,281.95E-3,506.34858132E-3
282.00E-3,282.00E-3,505.94690105E-3
282.05E-3,282.05E-3,505.54489279E-3
282.10E-3,282.10E-3,505.14255657E-3
282.15E-3,282.15E-3,504.73989236E-3
282.20E-3,282.20E-3,504.33690019E-3
282.25E-3,282.25E-3,503.93358004E-3
282.30E-3,282.30E-3,503.52993194E-3
282.35E-3,282.35E-3,503.12595587E-3
282.40E-3,282.40E-3,502.72165185E-3
282.45E-3,282.45E-3,502.31701988E-3
282.50E-3,282.50E-3,501.91205996E-3
282.55E-3,282.55E-3,501.50677212E-3
282.60E-3,282.60E-3,501.10115634E-3
282.65E-3,282.65E-3,500.69521264E-3
282.70E-3,282.70E-3,500.28894104E-3
282.75E-3,282.75E-3,499.88234153E-3
282.80E-3,282.80E-3,499.47541413E-3
282.85E-3,282.85E-3,499.06815885E-3
282.90E-3,282.90E-3,498.66057570E-3
282.95E-3,282.95E-3,498.25266469E-3
283.00E-3,283.00E-3,497.84442584E-3
283.05E-3,283.05E-3,497.43585915E-3
283.10E-3,283.10E-3,497.02696465E-3
283.15E-3,283.15E-3,496.61774234E-3
283.20E-3,283.20E-3,496.20819224E-3
283.25E-3,283.25E-3,495.79831436E-3
283.30E-3,283.30E-3,495.38810873E-3
283.35E-3,283.35E-3,494.97757535E-3
283.40E-3,283.40E-3,494.56671425E-3
283.45E-3,283.45E-3,494.15552544E-3
283.50E-3,283.50E-3,493.74400894E-3
283.55E-3,283.55E-3,493.33216477E-3
283.60E-3,283.60E-3,492.91999295E-3
283.65E-3,283.65E-3,492.50749350E-3
283.70E-3,283.70E-3,492.09466645E-3
283.75E-3,283.75E-3,491.68151180E-3
283.80E-3,283.80E-3,491.26802959E-3
283.85E-3,283.85E-3,490.85421984E-3
283.90E-3,283.90E-3,490.44008257E-3
283.95E-3,283.95E-3,490.02561780E-3
284.00E-3,284.00E-3,489.61082556E-3
284.05E-3,284.05E-3,489.19570588E-3
284.10E-3,284.10E-3,488.78025878E-3
284.15E-3,284.15E-3,488.36448429E-3
284.20E-3,284.20E-3,487.94838243E-3
284.25E-3,284.25E-3,487.53195323E-3
284.30E-3,284.30E-3,487.11519672E-3
284.35E-3,284.35E-3,486.69811294E-3
284.40E-3,284.40E-3,486.28070190E-3
284.45E-3,284.45E-3,485.86296365E-3
284.50E-3,284.50E-3,485.44489820E-3
284.55E-3,284.55E-3,485.02650560E-3
284.60E-3,284.60E-3,484.60778587E-3
284.65E-3,284.65E-3,484.18873906E-3
